taxonKey,taxonID,scientificName,kingdom,taxonRank
160883570,87089,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
160883576,86929,Phytophthora cinnamomi Rands,Chromista,SPECIES
160883579,86707,"Einhornia crustulenta (Pallas, 1766)",Animalia,SPECIES
160883583,86551,Aphanomyces astaci Schikora,Chromista,SPECIES
160883588,86741,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,SPECIES
160883593,87060,"Streblospio gynobranchiata Rice & Levin, 1998",Animalia,SPECIES
160883595,86940,"Polydora websteri Hartman, 1943",Animalia,SPECIES
160883596,86886,Ophiostoma novo-ulmi Brasier,Fungi,SPECIES
160883597,86939,"Polydora cornuta Bosc, 1802",Animalia,SPECIES
160883598,86694,"Dipolydora quadrilobata (Jacobi, 1883)",Animalia,SPECIES
160883603,86668,Cryphonectria parasitica (Murrill) M.E.Barr,Fungi,SPECIES
160883611,86689,"Diadumene lineata (Verrill, 1869)",Animalia,SPECIES
160883612,86962,Pseudotsuga menziesii (Mirb.) Franco,Plantae,SPECIES
160883614,86932,Pinus ponderosa Douglas ex C.Lawson,Plantae,SPECIES
160883616,86931,Pinus banksiana Lamb.,Plantae,SPECIES
160883617,86933,Pinus strobus L.,Plantae,SPECIES
160883620,86970,"Rathkea octopunctata (M.Sars, 1835)",Animalia,SPECIES
2684855,87074,Platycladus orientalis (L.) Franco,Plantae,SPECIES
2266546,86753,"Calyptospadix cerulea Clarke, 1882",Animalia,SPECIES
160883626,87071,Taxodium distichum (L.) Rich.,Plantae,SPECIES
160883628,86806,Juniperus virginiana L.,Plantae,SPECIES
160883629,86590,"Blackfordia virginica Mayer, 1910",Animalia,SPECIES
160883636,86755,Ginkgo biloba L.,Plantae,SPECIES
160883639,86853,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
160883644,86683,Cyrtomium falcatum (L.fil.) C.Presl,Plantae,SPECIES
160883647,86584,"Beroe ovata Bruguière, 1789",Animalia,SPECIES
160883648,86635,Ceratopteris thalictroides (L.) Brongn.,Plantae,SPECIES
160883655,86578,Azolla filiculoides Lam.,Plantae,SPECIES
160883656,86948,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
160883660,86961,"Pseudosuccinea columella (Say, 1817)",Animalia,SPECIES
160883663,87111,Yucca filamentosa L.,Plantae,SPECIES
160883665,87012,Scilla siberica Andrews,Plantae,SPECIES
160883666,86967,"Rapana venosa (Valenciennes, 1846)",Animalia,SPECIES
160883669,86740,"Ferrissia californica (Rowell, 1863)",Animalia,SPECIES
160883670,86865,Narcissus poeticus L.,Plantae,SPECIES
160883674,86768,Hemerocallis lilioasphodelus L.,Plantae,SPECIES
160883675,86655,"Corambe obscura (A.E.Verrill, 1870)",Animalia,SPECIES
160883676,86767,Hemerocallis fulva (L.) L.,Plantae,SPECIES
160883680,87037,Sisyrinchium montanum Greene,Plantae,SPECIES
160883681,86926,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
160883682,86798,Iris ×germanica L.,Plantae,SPECIES
160883684,86799,Iris pallida Lam.,Plantae,SPECIES
160883685,86559,"Arion lusitanicus Mabille, 1868",Animalia,SPECIES
160883691,86998,Sagittaria trifolia L.,Plantae,SPECIES
160883692,87032,"Sinanodonta woodiana (I.Lea, 1834)",Animalia,SPECIES
160883693,86997,Sagittaria subulata (L.) Buchenau,Plantae,SPECIES
160883695,86996,Sagittaria latifolia Willd.,Plantae,SPECIES
160883697,86995,Sagittaria lancifolia L.,Plantae,SPECIES
160883698,87072,"Teredo navalis Linnaeus, 1758",Animalia,SPECIES
160883701,86860,"Mya arenaria Linnaeus, 1758",Animalia,SPECIES
160883702,86811,Lemna minuta Kunth,Plantae,SPECIES
160883705,86697,"Dreissena bugensis (Andrusov, 1897)",Animalia,SPECIES
160883706,87093,Vallisneria spiralis L.,Plantae,SPECIES
160883708,86710,Elodea canadensis Michx.,Plantae,SPECIES
160883710,86711,Elodea nuttallii (Planch.) H.St.John,Plantae,SPECIES
160883711,86656,"Corbicula fluminea (O.F.Müller, 1774)",Animalia,SPECIES
11070196,86856,Pontederia korsakowii (Regel & Maack) M.Pell. & C.N.Horn,Plantae,SPECIES
160883717,86828,"Magallana gigas (Thunberg, 1793)",Animalia,SPECIES
160883719,86667,"Crassostrea virginica (Gmelin, 1791)",Animalia,SPECIES
160883721,87077,Tradescantia fluminensis Vell.,Plantae,SPECIES
160883723,86652,Commelina communis L.,Plantae,SPECIES
160883724,86557,"Arcuatula senhousia (W.H.Benson, 1842)",Animalia,SPECIES
160883729,86804,Juncus dudleyi Wiegand,Plantae,SPECIES
160883730,86546,"Anadara kagoshimensis (Tokunaga, 1906)",Animalia,SPECIES
160883731,86805,Juncus tenuis Willd.,Plantae,SPECIES
160883735,86743,Fimbristylis bisumbellata (Forssk.) Bubani,Plantae,SPECIES
160883737,86681,Cyperus odoratus L.,Plantae,SPECIES
160883739,86680,Cyperus esculentus L.,Plantae,SPECIES
160883740,87076,"Trachemys scripta (Thunberg In Schoepff, 1792)",Animalia,SPECIES
160883741,86646,Cladium mariscus (L.) Pohl,Plantae,SPECIES
160883746,87112,Zea mays L.,Plantae,SPECIES
160883747,87061,"Styela clava Herdman, 1881",Animalia,SPECIES
4125930,86513,×Agropogon lutosus (Poir.) P.Fourn.,Plantae,SPECIES
160883751,86854,"Molgula manhattensis (De Kay, 1843)",Animalia,SPECIES
2703723,86600,Bromus catharticus Vahl,Plantae,SPECIES
2705184,87054,Sorghum ×drummondii (Nees ex Steud.) Millsp. & Chase,Plantae,SPECIES
5218823,86870,"Mustela vison Schreber, 1777",Animalia,SPECIES
160883762,86876,"Nyctereutes procyonoides (Gray, 1834)",Animalia,SPECIES
5289686,87022,Setaria verticillata (L.) P.Beauv.,Plantae,SPECIES
160883765,87052,Sorghum bicolor (L.) Moench,Plantae,SPECIES
160883767,87053,Sorghum halepense (L.) Pers.,Plantae,SPECIES
160883768,86862,"Myocastor coypus (Molina, 1782)",Animalia,SPECIES
6431296,86993,Tripidium ravennae (L.) H.Scholz,Plantae,SPECIES
160883771,87013,Secale cereale L.,Plantae,SPECIES
160883772,86885,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
160883773,87021,Setaria italica (L.) P.Beauv.,Plantae,SPECIES
160883775,87020,Setaria faberi R.A.W.Herrm.,Plantae,SPECIES
160883777,86888,"Oryctolagus cuniculus (Linnaeus, 1758)",Animalia,SPECIES
160883778,86909,Paspalum distichum L.,Plantae,SPECIES
160883780,86919,Phalaris canariensis L.,Plantae,SPECIES
160883782,86897,Panicum miliaceum L.,Plantae,SPECIES
160883784,86898,Panicum schinzii Hack.,Plantae,SPECIES
160883785,86895,Panicum capillare L.,Plantae,SPECIES
160883787,86896,Panicum dichotomiflorum Michx.,Plantae,SPECIES
160883789,86903,Parapholis incurva (L.) C.E.Hubb.,Plantae,SPECIES
160883791,86820,Lolium multiflorum Lam.,Plantae,SPECIES
160883792,86941,"Polyodon spathula (Walbaum, 1792)",Animalia,SPECIES
160883793,86773,Hordeum distichon L.,Plantae,SPECIES
160883795,86775,Hordeum marinum Huds.,Plantae,SPECIES
160883797,86774,Hordeum jubatum L.,Plantae,SPECIES
160883798,86724,Eriochloa villosa (Thunb.) Kunth,Plantae,SPECIES
160883799,86935,"Planiliza haematocheila (Temminck & Schlegel, 1845)",Animalia,SPECIES
160883800,86709,Eleusine indica (L.) Gaertn.,Plantae,SPECIES
160883802,86713,Elymus athericus (Link) Kerguélen,Plantae,SPECIES
