taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
5788062,2379111,SK,,,,,,
5284794,7592320,SK,,,,,,
2379105,2379110,SK,,,invasive,,,
2379089,5853082,SK,,,invasive,,,
4285968,2379062,SK,,,invasive,,,
2683894,2683900,SK,,,,,,
7935070,7308481,SK,,,,,,
6411098,3896247,SK,,,,,,
2926615,2926616,SK,,,,,,
7346090,6070793,SK,,,,,,
7346102,7333256,SK,,,,,,
8741260,1749886,SK,,,invasive,,,
3172549,7613490,SK,,,,,,
8909595,2227000,SK,,,,,,
7332437,3737639,SK,,,,,,
7332216,7331782,SK,,,,,,
6460946,4416867,SK,,,,,,
4314683,4314673,SK,,,,,,
4417132,4417131,SK,,,,,,
9631539,3169305,SK,,,,,,
4315713,2219879,SK,,,,,,
9573587,8214113,SK,,,,,,
8368021,4005597,SK,,,,,,
3641366,3629505,SK,,,,,,
7224069,8193935,SK,,,,,,
11162940,5362018,SK,,,,,,
4201814,5688528,SK,,,,,,
4194303,8436755,SK,,,,,,
2986022,8416403,SK,,,,,,
8429167,7277406,SK,,,,,,
3033833,3033830,SK,,,,,,
10763835,8176367,SK,,,,,,
5531435,2888445,SK,,,,,,
8342911,2888438,SK,,,,,,
2888513,5334195,SK,,,,,,
9823072,8156718,SK,,,,,,
2891739,2891738,SK,,,,,,
3117449,3098296,SK,,,invasive,,,
3127691,3127698,SK,,,,,,
10676000,3142208,SK,,,,,,
3146717,5404795,SK,,,,,,
3141890,5402620,SK,,,,,,
3151618,5406425,SK,,,,,,
10411852,8173637,SK,,,,,,
6300551,4207983,SK,,,,,,
3095939,3095938,SK,,,,,,
3088488,3088492,SK,,,,,,
3146791,5404801,SK,,,invasive,,,
7627205,3141119,SK,,,,,,
3141101,3141107,SK,,,,,,
3087184,5385173,SK,,,,,,
3151558,5406491,SK,,,,,,
3089561,5386012,SK,,,,,,
7223475,6065079,SK,,,,,,
3054302,3054304,SK,,,,,,
8175012,2876280,SK,,,,,,
5665284,5665411,SK,,,,,,
2890212,7481348,SK,,,,,,
3188924,3188926,SK,,,,,,
6427623,6428493,SK,,,,,,
3666407,3666157,SK,,,,,,
7915783,7784421,SK,,,,,,
3151558,5406382,SK,,,invasive,,,
9537212,5581378,SK,,,,,,
2930137,2930181,SK,,,,,,
5376961,3052311,SK,,,invasive,,,
3048840,8171110,SK,,,,,,
5376627,5376633,SK,,,,,,
10944522,3052738,SK,,,,,,
5375920,5375936,SK,,,,,,
3042416,3042423,SK,,,,,,
3048203,5375597,SK,,,,,,
3049314,8191598,SK,,,,,,
3693541,3045111,SK,,,,,,
5373483,5373484,SK,,,,,,
5377060,5377061,SK,,,,,,
3047621,3047624,SK,,,,,,
5373440,5373452,SK,,,,,,
2925807,2925808,SK,,,,,,
7621706,8171856,SK,,,,,,
5341198,5341199,SK,,,,,,
7294854,2925902,SK,,,,,,
8359411,4192546,SK,,,,,,
5568339,3083831,SK,,,,,,
8273130,3083910,SK,,,,,,
7323251,5548040,SK,,,,,,
3083838,3757680,SK,,,,,,
3755928,6035721,SK,,,,,,
7551162,3083901,SK,,,,,,
11715681,3083565,SK,,,,,,
7520244,5568045,SK,,,,,,
3759244,3756760,SK,,,,,,
8290282,3083930,SK,,,,,,
9734923,6035783,SK,,,,,,
5568446,3083836,SK,,,,,,
7418706,3083834,SK,,,,,,
8149099,3083851,SK,,,,,,
8044896,3083843,SK,,,,,,
5568322,3083909,SK,,,,,,
5568428,3083858,SK,,,,,,
3083838,3083941,SK,,,,,,
5334351,5334436,SK,,,,,,
2889088,5334293,SK,,,invasive,,,
4038485,8539508,SK,,,invasive,,,
4038485,5652296,SK,,,,,,
2889173,5334357,SK,,,invasive,,,
3084742,7288916,SK,,,,,,
7095665,3084748,SK,,,,,,
10363580,5927666,SK,,,,,,
5584611,3085889,SK,,,,,,
7268098,5384830,SK,,,,,,
8091998,3085320,SK,,,,,,
8091998,6364531,SK,,,,,,
3085368,3810979,SK,,,,,,
8012439,2888634,SK,,,,,,
7443846,4104284,SK,,,,,,
7301011,2888805,SK,,,,,,
5347846,5347845,SK,,,,,,
2975035,2975037,SK,,,,,,
2963569,2963572,SK,,,,,,
2974921,2974923,SK,,,,,,
3973001,5350010,SK,,,,,,
6359254,6359242,SK,,,,,,
6285889,3152375,SK,,,,,,
3940326,3152769,SK,,,,,,
5602713,5602698,SK,,,,,,
5602713,5602710,SK,,,,,,
3020980,3022502,SK,,,,,,
5370380,7740434,SK,,,,,,
8149923,3022511,SK,,,,,,
2765942,2765940,SK,,,,,,
8080743,2767334,SK,,,,,,
5298069,5298101,SK,,,,,,
2856037,7668251,SK,,,,,,
5289756,5289757,SK,,,,,,
2705400,4150679,SK,,,,,,
2705090,4134741,SK,,,,,,
2705090,4134826,SK,,,,,,
2705369,7420289,SK,,,,,,
5289686,2703015,SK,,,,,,
5329263,5329260,SK,,,,,,
5300296,7736223,SK,,,,,,
