taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
155283,196384662,Cryphonectria parasitica (Murrill) M.E.Barr,filtered_on_establishmentMeans,2566393,Cryphonectria parasitica (Murrill) M.E.Barr
155449,196384663,"Hypophthalmichthys molitrix (Valenciennes, 1844)",filtered_on_establishmentMeans,2362473,"Hypophthalmichthys molitrix (Valenciennes, 1844)"
155752,196384666,"Rhodeus amarus (Bloch, 1782)",filtered_on_establishmentMeans,2360842,"Rhodeus amarus (Bloch, 1782)"
155736,196384668,"Pseudorasbora parva (Temminck & Schlegel, 1846)",filtered_on_establishmentMeans,2362868,"Pseudorasbora parva (Temminck & Schlegel, 1846)"
155323,196384669,"Dothistroma septosporum (Dorogin) M.Morelet, 1968",filtered_on_establishmentMeans,2621905,Dothistroma septosporum (Dorogin) M.Morelet
155298,196384670,"Cyprinus rubrofuscus LacÃ©pÃ¨de, 1803",not_matched_with_backbone,,
155284,196384671,"Ctenopharyngodon idella (Valenciennes, 1844)",filtered_on_establishmentMeans,2362030,"Ctenopharyngodon idella (Valenciennes, 1844)"
155450,196384672,"Hypophthalmichthys nobilis (Richardson, 1845)",filtered_on_establishmentMeans,2362486,"Hypophthalmichthys nobilis (Richardson, 1845)"
155179,196384674,"Carassius auratus (Linnaeus, 1758)",filtered_on_establishmentMeans,4286942,"Carassius auratus (Linnaeus, 1758)"
155633,196384679,"Oreochromis mossambicus (Peters, 1852)",filtered_on_establishmentMeans,2372396,"Oreochromis mossambicus (Peters, 1852)"
155673,196384683,"Perccottus glenii Dybowski, 1877",filtered_on_establishmentMeans,2390064,"Perccottus glenii Dybowski, 1877"
155696,196384685,Pinus contorta Douglas ex Loudon,filtered_on_establishmentMeans,5285750,Pinus contorta Douglas ex Loudon
155124,196384686,"Babka gymnotrachelus (Kessler, 1857)",filtered_on_establishmentMeans,5788062,"Babka gymnotrachelus (Kessler, 1857)"
155595,196384687,"Neogobius gymnotrachelus (Kessler, 1857)",merged_with_accepted,5788062,"Babka gymnotrachelus (Kessler, 1857)"
155594,196384689,"Neogobius fluviatilis (Pallas, 1814)",filtered_on_establishmentMeans,2379105,"Neogobius fluviatilis (Pallas, 1814)"
155695,196384690,Picea orientalis (L.) Link,merged_with_accepted,5284794,Picea orientalis (L.) Peterm.
155083,196384691,"Apollonia fluviatilis (Pallas, 1814)",merged_with_accepted,2379105,"Neogobius fluviatilis (Pallas, 1814)"
155000,196384692,Abies firma Siebold & Zucc.,filtered_on_establishmentMeans,2685414,Abies firma Siebold & Zucc.
155597,196384693,"Neogobius melanostomus (Pallas, 1814)",filtered_on_establishmentMeans,2379089,"Neogobius melanostomus (Pallas, 1814)"
155699,196384694,Pinus strobus L.,filtered_on_establishmentMeans,5284982,Pinus strobus L.
155084,196384695,"Apollonia melanostoma (Pallas, 1814)",merged_with_accepted,2379089,"Neogobius melanostomus (Pallas, 1814)"
155700,196384696,Pinus wallichiana A.B.Jacks.,filtered_on_establishmentMeans,5285074,Pinus wallichiana A.B.Jacks.
155713,196384697,"Ponticola kessleri (GÃ¼nther, 1861)",filtered_on_establishmentMeans,4285968,"Ponticola kessleri (Günther, 1861)"
155698,196384698,Pinus peuce Griseb.,filtered_on_establishmentMeans,5285079,Pinus peuce Griseb.
155721,196384699,"Proterorhinus semilunaris (Heckel, 1837)",filtered_on_establishmentMeans,2379245,"Proterorhinus semilunaris (Heckel, 1837)"
155002,196384700,Abies nordmanniana Spach,filtered_on_establishmentMeans,2685552,Abies nordmanniana (Steven) Spach
155697,196384701,Pinus nigra J.F.Arnold,filtered_on_establishmentMeans,5284809,Pinus nigra J.F.Arnold
155001,196384703,Abies grandis Lindl.,filtered_on_establishmentMeans,2685361,Abies grandis (Douglas ex D.Don) Lindl.
155596,196384704,"Neogobius kessleri (GÃ¼nther, 1861)",merged_with_accepted,4285968,"Ponticola kessleri (Günther, 1861)"
155737,196384705,Pseudotsuga menziesii (Mirb.) Franco,filtered_on_establishmentMeans,2685796,Pseudotsuga menziesii (Mirb.) Franco
155576,196384708,"Micropterus salmoides (LacepÃ¨de, 1802)",filtered_on_establishmentMeans,2394563,"Micropterus salmoides (Lacepède, 1802)"
155507,196384709,"Lepomis gibbosus (Linnaeus, 1758)",filtered_on_establishmentMeans,2394486,"Lepomis gibbosus (Linnaeus, 1758)"
155207,196384712,Chamaecyparis nootkatensis (D.Don) Spach,merged_with_accepted,2683894,Xanthocyparis nootkatensis (D.Don) Farjon & Harder
155575,196384714,Metasequoia glyptostroboides Hu & Cheng,filtered_on_establishmentMeans,5284231,Metasequoia glyptostroboides H.H.Hu & W.C.Cheng
155399,196384715,"Gasterosteus aculeatus Linnaeus, 1758",filtered_on_establishmentMeans,4286327,"Gasterosteus aculeatus Linnaeus, 1758"
155708,196384716,Platycladus orientalis (L.) Franco,filtered_on_establishmentMeans,2684855,Platycladus orientalis (L.) Franco
155206,196384718,Chamaecyparis lawsoniana Parl.,filtered_on_establishmentMeans,2683866,Chamaecyparis lawsoniana (A.Murray bis) Parl.
155712,196384721,"Polyodon spathula (Walbaum, 1792)",filtered_on_establishmentMeans,5212833,"Polyodon spathula (Walbaum, 1792)"
155007,196384725,"Acipenser baerii Brandt, 1869",filtered_on_establishmentMeans,4287131,"Acipenser baerii Brandt, 1869"
155155,196384726,Buddleja davidii Franch.,filtered_on_establishmentMeans,3173338,Buddleja davidii Franch.
155910,196384730,Verbena officinalis L.,filtered_on_establishmentMeans,2925529,Verbena officinalis L.
155058,196384731,"Ameiurus nebulosus (Lesueur, 1819)",filtered_on_establishmentMeans,2340989,"Ameiurus nebulosus (Lesueur, 1819)"
155057,196384733,"Ameiurus melas (Rafinesque, 1820)",filtered_on_establishmentMeans,2340977,"Ameiurus melas (Rafinesque, 1820)"
155512,196384734,Ligustrum ovalifolium Hassk.,filtered_on_establishmentMeans,3172291,Ligustrum ovalifolium Hassk.
155382,196384736,Fraxinus pennsylvanica Marshall,filtered_on_establishmentMeans,3172348,Fraxinus pennsylvanica Marshall
155240,196384737,"Clarias gariepinus (Burchell, 1822)",filtered_on_establishmentMeans,5202793,"Clarias gariepinus (Burchell, 1822)"
155381,196384738,Fraxinus americana L.,filtered_on_establishmentMeans,3172327,Fraxinus americana L.
155380,196384740,Forsythia suspensa Vahl,filtered_on_establishmentMeans,5415056,Forsythia suspensa (Thunb.) Vahl
155866,196384742,Syringa vulgaris L.,filtered_on_establishmentMeans,5415039,Syringa vulgaris L.
155710,196384743,"Poecilia sphenops Valenciennes, 1846",filtered_on_establishmentMeans,5203748,"Poecilia sphenops Valenciennes, 1846"
155709,196384745,"Poecilia reticulata Peters, 1859",filtered_on_establishmentMeans,2350050,"Poecilia reticulata Peters, 1859"
155950,196384746,"Xiphophorus hellerii Heckel, 1848",filtered_on_establishmentMeans,8246728,"Xiphophorus hellerii Heckel, 1848"
155324,196384747,Dracocephalum thymiflorum L.,filtered_on_establishmentMeans,2927224,Dracocephalum thymiflorum L.
155451,196384749,Hyssopus officinalis L.,filtered_on_establishmentMeans,5341387,Hyssopus officinalis L.
155861,196384751,Stachys byzantina K.Koch,filtered_on_establishmentMeans,2927230,Stachys byzantina K.Koch
155260,196384752,"Coregonus migratorius (Georgi, 1775)",filtered_on_establishmentMeans,2350989,"Coregonus migratorius (Georgi, 1775)"
155552,196384753,Marrubium paniculatum Desr.,filtered_on_establishmentMeans,3906030,Marrubium ×paniculatum Desr.
155258,196384754,"Coregonus albula (Linnaeus, 1758)",filtered_on_establishmentMeans,2351027,"Coregonus albula (Linnaeus, 1758)"
155484,196384755,Lamium album L.,filtered_on_establishmentMeans,2926683,Lamium album L.
155261,196384756,"Coregonus peled (Gmelin, 1789)",filtered_on_establishmentMeans,2351136,"Coregonus peled (Gmelin, 1789)"
155393,196384757,Galeopsis segetum Neck.,filtered_on_establishmentMeans,5341308,Galeopsis segetum Neck.
155781,196384758,"Salvelinus fontinalis (Mitchill, 1814)",filtered_on_establishmentMeans,2351271,"Salvelinus fontinalis (Mitchill, 1814)"
155125,196384759,Ballota nigra L.,filtered_on_establishmentMeans,2926894,Ballota nigra L.
155262,196384760,"Coregonus renke (Schrank, 1783)",filtered_on_establishmentMeans,2350997,"Coregonus renke (Schrank, 1783)"
155263,196384762,"Coregonus wartmanni (Bloch, 1784)",filtered_on_establishmentMeans,2350976,"Coregonus wartmanni (Bloch, 1784)"
155208,196384763,Chamaepitys chia (Schreb.) Holub,merged_with_accepted,7935070,Ajuga chamaepitys subsp. chia (Schreb.) Arcang.
155627,196384764,"Oncorhynchus mykiss (Walbaum, 1792)",filtered_on_establishmentMeans,5204019,"Oncorhynchus mykiss (Walbaum, 1792)"
155783,196384765,Salvia sclarea L.,filtered_on_establishmentMeans,2927000,Salvia sclarea L.
155259,196384766,"Coregonus maraena (Bloch, 1779)",filtered_on_establishmentMeans,2351174,"Coregonus maraena (Bloch, 1779)"
155486,196384767,Lamium purpureum L.,filtered_on_establishmentMeans,2926682,Lamium purpureum L.
155875,196384768,"Thymallus baicalensis Dybowski, 1874",filtered_on_establishmentMeans,5816794,"Thymallus baicalensis Dybowski, 1874"
155337,196384769,Elsholtzia ciliata (Thunb.) Hylander,filtered_on_establishmentMeans,2927075,Elsholtzia ciliata (Thunb.) Hyl.
155494,196384771,Lavandula angustifolia Mill.,filtered_on_establishmentMeans,2927305,Lavandula angustifolia Mill.
155391,196384775,Galeobdolon argentatum Smejkal,merged_with_accepted,6411098,Lamium galeobdolon subsp. argentatum (Smejkal) J.Duvign.
155392,196384777,Galeopsis ladanum L.,filtered_on_establishmentMeans,5341309,Galeopsis ladanum L.
155013,196384778,"Aedes albopictus Skuse, 1894",filtered_on_establishmentMeans,1651430,"Aedes albopictus (Skuse, 1894)"
155568,196384779,Mentha spicata subsp. spicata,filtered_on_establishmentMeans,7308335,Mentha spicata subsp. spicata
155566,196384783,Mentha gracilis Sole,filtered_on_establishmentMeans,7923052,Mentha ×gracilis Sole
155243,196384784,"Clogmia albipunctatus (Williston, 1893)",filtered_on_establishmentMeans,4522049,"Clogmia albipunctatus (Williston, 1893)"
155541,196384787,Majorana hortensis Moench,merged_with_accepted,2926615,Origanum majorana L.
155485,196384789,Lamium amplexicaule L.,filtered_on_establishmentMeans,2926679,Lamium amplexicaule L.
155569,196384791,Mentha suaveolens Steph. ex Ledeb.,filtered_on_establishmentMeans,7443035,"Mentha suaveolens Steph. ex Ledeb., 1849"
155599,196384792,Nepeta racemosa Lam.,filtered_on_establishmentMeans,5341497,Nepeta racemosa Lam.
155462,196384793,"Ips duplicatus Sahlberg, 1836",filtered_on_establishmentMeans,5018623,"Ips duplicatus Sahlberg, 1836"
155499,196384794,Leonurus cardiaca L.,filtered_on_establishmentMeans,5341389,Leonurus cardiaca L.
155570,196384796,Mentha villosa Huds.,filtered_on_establishmentMeans,8004895,Mentha ×villosa Huds.
155692,196384798,Physostegia virginiana Benth.,filtered_on_establishmentMeans,2926572,Physostegia virginiana (L.) Benth.
155672,196384799,"Pealius azaleae (Baker & Moles, 1920)",filtered_on_establishmentMeans,2012118,"Pealius azaleae (Baker & Moles, 1920)"
155782,196384800,Salvia officinalis L.,filtered_on_establishmentMeans,2927004,Salvia officinalis L.
155023,196384801,Aleuroclava cubae,not_matched_with_backbone,,
155567,196384802,Mentha piperita L.,filtered_on_establishmentMeans,8707933,Mentha ×piperita L.
155553,196384804,Marrubium vulgare L.,filtered_on_establishmentMeans,2927069,Marrubium vulgare L.
155565,196384805,Melissa officinalis L.,filtered_on_establishmentMeans,5341501,Melissa officinalis L.
155205,196384806,"Ceroplastes ceriferus Newstead, 1911",filtered_on_establishmentMeans,7953279,"Ceroplastes ceriferus (Fabricius, 1798)"
155860,196384807,Stachys arvensis L.,filtered_on_establishmentMeans,2927229,Stachys arvensis (L.) L.
155786,196384809,Satureja hortensis L.,filtered_on_establishmentMeans,2926885,Satureja hortensis L.
155610,196384811,Ocimum basilicum L.,filtered_on_establishmentMeans,2927096,Ocimum basilicum L.
155789,196384812,"Sceliphron curvatum (F.Smith, 1870)",filtered_on_establishmentMeans,5041422,"Sceliphron curvatum (F.Smith, 1870)"
155859,196384813,Stachys annua L.,filtered_on_establishmentMeans,2927235,Stachys annua (L.) L.
155598,196384815,Nepeta cataria L.,filtered_on_establishmentMeans,5341499,Nepeta cataria L.
155085,196384817,"Aproceros leucopoda Takeuchi, 1939",filtered_on_establishmentMeans,8599762,"Aproceros leucopoda Takeuchi, 1939"
155559,196384819,Melampyrum arvense L.,filtered_on_establishmentMeans,7331741,Melampyrum arvense L.
155637,196384821,Orobanche minor Sm.,filtered_on_establishmentMeans,3173271,Orobanche minor Sm.
155683,196384822,Phelipanche ramosa Pomel,filtered_on_establishmentMeans,3728894,Phelipanche ramosa (L.) Pomel
155308,196384823,"Dichromothrips corbetti (Priesner, 1936)",filtered_on_establishmentMeans,1420855,"Dichromothrips corbetti (Priesner, 1936)"
155636,196384824,Orobanche cernua Loefl.,filtered_on_establishmentMeans,3173260,Orobanche cernua Loefl.
155671,196384828,Paulownia tomentosa (Thunb.) Steud.,filtered_on_establishmentMeans,3170823,Paulownia tomentosa (Thunb.) Steud.
155245,196384829,"Coleotechnites piceaella (Kearfott, 1903)",filtered_on_establishmentMeans,1851409,"Coleotechnites piceaella (Kearfott, 1903)"
155579,196384833,Mimulus moschatus Douglas ex Lindl.,merged_with_accepted,7346090,Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom
155665,196384834,"Parectopa robiniella Clemens, 1863",filtered_on_establishmentMeans,1748922,"Parectopa robiniella Clemens, 1863"
155168,196384836,"Cameraria ohridella Deschka & Dimic, 1986",filtered_on_establishmentMeans,1749449,"Cameraria ohridella Deschka & Dimić, 1986"
155578,196384837,Mimulus guttatus Fisch. ex DC.,merged_with_accepted,7346102,Erythranthe guttata (DC.) G.L.Nesom
155688,196384838,"Phyllonorycter robiniella (Clemens, 1859)",merged_with_accepted,8741260,"Macrosaccus robiniella (Clemens, 1859)"
155193,196384840,Catalpa bignonioides Walter,filtered_on_establishmentMeans,3172615,Catalpa bignonioides Walter
155172,196384842,Campsis radicans (L.) Seem.,merged_with_accepted,3172549,Campsis radicans (L.) Bureau
155293,196384843,"Cydalima perspectalis (Walker, 1859)",filtered_on_establishmentMeans,4532122,"Cydalima perspectalis (Walker, 1859)"
155912,196384846,Veronica arvensis L.,filtered_on_establishmentMeans,3172048,Veronica arvensis L.
155295,196384847,"Cymbalaria muralis G.Gaertn., B.Mey. & Schreb.",filtered_on_establishmentMeans,8200663,"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb."
155917,196384849,Veronica polita Fries,filtered_on_establishmentMeans,3172074,Veronica polita Fr.
155079,196384851,Antirrhinum majus L.,filtered_on_establishmentMeans,3172001,Antirrhinum majus L.
155430,196384852,"Hemimysis anomala G.O.Sars, 1907",filtered_on_establishmentMeans,2220312,"Hemimysis anomala G.O.Sars, 1907"
155915,196384853,Veronica peregrina L.,filtered_on_establishmentMeans,3172104,Veronica peregrina L.
155472,196384854,"Katamysis warpachowskyi G.O.Sars, 1893",filtered_on_establishmentMeans,2221273,"Katamysis warpachowskyi G.O.Sars, 1893"
155581,196384855,Misopates orontium Raf.,filtered_on_establishmentMeans,3171145,Misopates orontium (L.) Raf.
155514,196384857,"Limnomysis benedeni Czerniavsky, 1882",filtered_on_establishmentMeans,2220347,"Limnomysis benedeni Czerniavsky, 1882"
155918,196384859,Veronica triloba Opiz,filtered_on_establishmentMeans,3724778,Veronica triloba (Opiz) Opiz
155916,196384860,Veronica persica Poir.,filtered_on_establishmentMeans,3172077,Veronica persica Poir.
155911,196384862,Veronica agrestis L.,filtered_on_establishmentMeans,3172082,Veronica agrestis L.
155650,196384863,"Pacifastacus leniusculus (Dana, 1852)",filtered_on_establishmentMeans,2226990,"Pacifastacus leniusculus (Dana, 1852)"
155475,196384864,Kickxia spuria Dumort.,filtered_on_establishmentMeans,3170817,Kickxia spuria (L.) Dumort.
155914,196384865,Veronica opaca Fries,filtered_on_establishmentMeans,3172071,Veronica opaca Fr.
155516,196384867,Linaria arvensis Desf.,filtered_on_establishmentMeans,5562956,Linaria arvensis (L.) Desf.
155349,196384868,"Eriocheir sinensis H.Milne Edwards, 1853",filtered_on_establishmentMeans,2225776,"Eriocheir sinensis H.Milne Edwards, 1853"
155704,196384869,Plantago coronopus L.,filtered_on_establishmentMeans,3189739,Plantago coronopus L.
155309,196384870,Digitalis lanata Ehrh.,filtered_on_establishmentMeans,5414989,Digitalis lanata Ehrh.
155310,196384872,Digitalis purpurea L.,filtered_on_establishmentMeans,5414995,Digitalis purpurea L.
155913,196384873,Veronica filiformis Sm.,filtered_on_establishmentMeans,3172100,Veronica filiformis Sm.
155632,196384874,"Orconectes limosus (Rafinesque, 1817)",merged_with_accepted,8909595,"Faxonius limosus (Rafinesque, 1817)"
155474,196384875,Kickxia elatine (L.) Dumort.,filtered_on_establishmentMeans,3170819,Kickxia elatine (L.) Dumort.
155515,196384877,Limnophila sessiliflora Blume,filtered_on_establishmentMeans,5415001,Limnophila sessiliflora (Vahl) Blume
155703,196384879,Plantago aristata Michx.,filtered_on_establishmentMeans,3189696,Plantago aristata Michx.
155609,196384881,"Obesogammarus obesus (Sars G.O., 1894)",filtered_on_establishmentMeans,4417156,"Obesogammarus obesus (G.O.Sars, 1894)"
155577,196384882,Microrrhinum litorale (Bernh. ex Willd.) F.Speta,merged_with_accepted,7332437,Chaenorhinum litorale subsp. litorale
155735,196384886,Pseudolysimachion incanum (L.) Holub,merged_with_accepted,7332216,Veronica incana subsp. incana
155271,196384887,"Corophium robustum G.O.Sars, 1895",merged_with_accepted,6460946,"Chelicorophium robustum (G.O.Sars, 1895)"
155919,196384888,Veronica triphyllos L.,filtered_on_establishmentMeans,3172119,Veronica triphyllos L.
155517,196384890,Linaria incarnata (Vent.) Spreng.,filtered_on_establishmentMeans,5415018,Linaria incarnata (Vent.) Spreng.
155270,196384892,"Corophium curvispinum G.O.Sars, 1895",merged_with_accepted,4314683,"Chelicorophium curvispinum (G.O.Sars, 1895)"
155903,196384893,Utricularia gibba L.,filtered_on_establishmentMeans,3172407,Utricularia gibba L.
155315,196384897,"Dikerogammarus villosus (Sowinsky, 1894)",filtered_on_establishmentMeans,4315705,"Dikerogammarus villosus (Sowinsky, 1894)"
155317,196384898,Diospyros lotus L.,filtered_on_establishmentMeans,3032980,Diospyros lotus L.
155314,196384899,"Dikerogammarus haemobaphes (Eichwald, 1841)",filtered_on_establishmentMeans,4315703,"Dikerogammarus haemobaphes (Eichwald, 1841)"
155291,196384901,Cyclamen purpurascens Mill.,filtered_on_establishmentMeans,3169315,Cyclamen purpurascens Mill.
155313,196384902,"Dikerogammarus bispinosus Martynov, 1925",filtered_on_establishmentMeans,4315704,"Dikerogammarus bispinosus Martynov, 1925"
