taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
5788062,2379111,155595,"Babka gymnotrachelus (Kessler, 1857)",Animalia,SPECIES
5284794,7592320,155695,Picea orientalis (L.) Peterm.,Plantae,SPECIES
2379105,2379110,155083,"Neogobius fluviatilis (Pallas, 1814)",Animalia,SPECIES
2379089,5853082,155084,"Neogobius melanostomus (Pallas, 1814)",Animalia,SPECIES
4285968,2379062,155596,"Ponticola kessleri (Günther, 1861)",Animalia,SPECIES
2683894,2683900,155207,Xanthocyparis nootkatensis (D.Don) Farjon & Harder,Plantae,SPECIES
7935070,7308481,155208,Ajuga chamaepitys subsp. chia (Schreb.) Arcang.,Plantae,SUBSPECIES
6411098,3896247,155391,Lamium galeobdolon subsp. argentatum (Smejkal) J.Duvign.,Plantae,SUBSPECIES
2926615,2926616,155541,Origanum majorana L.,Plantae,SPECIES
7346090,6070793,155579,Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom,Plantae,SPECIES
7346102,7333256,155578,Erythranthe guttata (DC.) G.L.Nesom,Plantae,SPECIES
8741260,1749886,155688,"Macrosaccus robiniella (Clemens, 1859)",Animalia,SPECIES
3172549,7613490,155172,Campsis radicans (L.) Bureau,Plantae,SPECIES
8909595,2227000,155632,"Faxonius limosus (Rafinesque, 1817)",Animalia,SPECIES
7332437,3737639,155577,Chaenorhinum litorale subsp. litorale,Plantae,SUBSPECIES
7332216,7331782,155735,Veronica incana subsp. incana,Plantae,SUBSPECIES
6460946,4416867,155271,"Chelicorophium robustum (G.O.Sars, 1895)",Animalia,SPECIES
4314683,4314673,155270,"Chelicorophium curvispinum (G.O.Sars, 1895)",Animalia,SPECIES
4417132,4417131,155331,"Chaetogammarus trichiatus Martynov, 1932",Animalia,SPECIES
9631539,3169305,155063,Lysimachia arvensis subsp. arvensis,Plantae,SUBSPECIES
4315713,2219879,155330,"Chaetogammarus ischnus (Stebbing, 1899)",Animalia,SPECIES
9573587,8214113,155064,Lysimachia ×doerfleri (Ronniger) Stace,Plantae,SPECIES
8368021,4005597,155065,Lysimachia foemina (Mill.) U.Manns & Anderb.,Plantae,SPECIES
3641366,3629505,155589,Chaerophyllum nodosum (L.) Crantz,Plantae,SPECIES
7224069,8193935,155676,Petroselinum crispum subsp. crispum,Plantae,SUBSPECIES
11162940,5362018,155796,Phedimus spurius subsp. spurius,Plantae,SUBSPECIES
4201814,5688528,155794,Petrosedum rupestre subsp. erectum ('t Hart) Velayos,Plantae,SUBSPECIES
4194303,8436755,155756,Ribes aureum var. villosum DC.,Plantae,VARIETY
2986022,8416403,155685,Philadelphus pubescens Loisel.,Plantae,SPECIES
8429167,7277406,155251,Delphinium hispanicum Costa,Plantae,SPECIES
3033833,3033830,155250,Delphinium ajacis L.,Plantae,SPECIES
10763835,8176367,155252,Delphinium consolida subsp. consolida,Plantae,SUBSPECIES
5531435,2888445,155659,"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García",Plantae,SPECIES
8342911,2888438,155662,Papaver setiferum Goldblatt,Plantae,SPECIES
2888513,5334195,155273,Pseudofumaria lutea (L.) Borkh.,Plantae,SPECIES
9823072,8156718,155646,Oxalis stricta L.,Plantae,SPECIES
2891739,2891738,155648,Oxalis corniculata var. atropurpurea Planch.,Plantae,VARIETY
3117449,3098296,155862,Erigeron annuus (L.) Pers.,Plantae,SPECIES
3127691,3127698,155244,Centaurea benedicta (L.) L.,Plantae,SPECIES
10676000,3142208,155749,Leuzea repens (L.) D.J.N.Hind,Plantae,SPECIES
3146717,5404795,155255,Erigeron bonariensis L.,Plantae,SPECIES
3141890,5402620,155466,Cyclachaena xanthiifolia (Nutt.) Fresen.,Plantae,SPECIES
3151618,5406425,155109,Symphyotrichum novae-angliae (L.) G.L.Nesom,Plantae,SPECIES
10411852,8173637,155197,Centaurea jacea x nigrescens,Plantae,SPECIES
6300551,4207983,155750,Leuzea rhapontica subsp. rhapontica,Plantae,SUBSPECIES
3095939,3095938,155257,Erigeron ×huelsenii Vatke,Plantae,SPECIES
3088488,3088492,155867,Tagetes erecta L.,Plantae,SPECIES
3146791,5404801,155256,Erigeron canadensis L.,Plantae,SPECIES
7627205,3141119,155235,Glebionis coronaria (L.) Tzvelev,Plantae,SPECIES
3141101,3141107,155236,Glebionis segetum (L.) Fourr.,Plantae,SPECIES
3087184,5385173,155773,Ratibida pinnata (Vent.) Barnhart,Plantae,SPECIES
3151558,5406491,155111,Symphyotrichum novi-belgii (L.) G.L.Nesom,Plantae,SPECIES
3089561,5386012,155290,Centaurea cyanus L.,Plantae,SPECIES
7223475,6065079,155419,Helianthus pauciflorus subsp. pauciflorus,Plantae,SUBSPECIES
3054302,3054304,155191,Carya alba (L.) Nutt.,Plantae,SPECIES
8175012,2876280,155032,Alnus alnobetula subsp. alnobetula,Plantae,SUBSPECIES
5665284,5665411,155937,Viola ×basilensis W.Becker,Plantae,SPECIES
2890212,7481348,155403,Geranium pusillum L.,Plantae,SPECIES
3188924,3188926,155622,Oenothera biennis L.,Plantae,SPECIES
6427623,6428493,155613,Oenothera villosa subsp. villosa,Plantae,SUBSPECIES
3666407,3666157,155209,Chamaenerion fleischeri (Hochst.) Fritsch,Plantae,SPECIES
7915783,7784421,155620,Oenothera ×fallax Renner,Plantae,SPECIES
3151558,5406382,155110,Symphyotrichum novi-belgii (L.) G.L.Nesom,Plantae,SPECIES
9537212,5581378,155689,Alkekengi officinarum var. franchetii (Mast.) R.J.Wang,Plantae,VARIETY
2930137,2930181,155536,Solanum lycopersicum L.,Plantae,SPECIES
5376961,3052311,155180,Lepidium draba L.,Plantae,SPECIES
3048840,8171110,155159,Cakile maritima subsp. euxina (Pobed.) Nyár.,Plantae,SUBSPECIES
5376627,5376633,155269,Lepidium coronopus (L.) Al-Shehbaz,Plantae,SPECIES
10944522,3052738,155873,Mummenhoffia alliacea (L.) Esmailbegi & Al-Shehbaz,Plantae,SPECIES
5375920,5375936,155351,Eruca vesicaria (L.) Cav.,Plantae,SPECIES
3042416,3042423,155165,Camelina microcarpa Andrz. ex DC.,Plantae,SPECIES
3048203,5375597,155210,Erysimum cheiri (L.) Crantz,Plantae,SPECIES
3049314,8191598,155357,Euclidium syriacum (L.) W.T.Aiton,Plantae,SPECIES
3693541,3045111,155035,Odontarrhena muralis (Waldst. & Kit.) Endl.,Plantae,SPECIES
5373483,5373484,155279,Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina,Plantae,SUBSPECIES
5377060,5377061,155268,Lepidium didymum L.,Plantae,SPECIES
3047621,3047624,155510,Sinapis alba L.,Plantae,SPECIES
5373440,5373452,155542,Strigosella africana (L.) Botsch.,Plantae,SPECIES
2925807,2925808,155424,Heliotropium arborescens L.,Plantae,SPECIES
7621706,8171856,155762,Rochelia disperma (L.fil.) C.Koch,Plantae,SPECIES
5341198,5341199,155067,Anchusa azurea Mill.,Plantae,SPECIES
7294854,2925902,155520,Buglossoides arvensis subsp. arvensis,Plantae,SUBSPECIES
8359411,4192546,155694,Phytolacca acinosa var. esculenta (Van Houtte) Maxim.,Plantae,VARIETY
5568339,3083831,155226,Dysphania pumilio (R.Br.) Mosyakin & Clemants,Plantae,SPECIES
8273130,3083910,155224,"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",Plantae,SPECIES
7323251,5548040,155040,Amaranthus emarginatus subsp. emarginatus,Plantae,SUBSPECIES
3083838,3757680,155223,Chenopodium album L.,Plantae,SPECIES
3755928,6035721,155220,Chenopodium album var. missouriense (Aellen) Bassett & Crompton,Plantae,VARIETY
7551162,3083901,155218,"Chenopodiastrum hybridum (L.) S.Fuentes, Uotila & Borsch",Plantae,SPECIES
11715681,3083565,155292,"Dysphania atriplicifolia (Spreng.) G.Kadereit, Sukhor. & Uotila",Plantae,SPECIES
7520244,5568045,155127,Sedobassia sedoides (Pall.) Freitag & G.Kadereit,Plantae,SPECIES
3759244,3756760,155233,Chenopodium ×jedlickae F.Dvorák,Plantae,SPECIES
8290282,3083930,155217,"Oxybasis glauca (L.) S.Fuentes, Uotila & Borsch",Plantae,SPECIES
9734923,6035783,155219,Dysphania ambrosioides var. integrifolia (Vorosch.) Schwarzová & Mered'a,Plantae,VARIETY
5568446,3083836,155212,Dysphania ambrosioides (L.) Mosyakin & Clemants,Plantae,SPECIES
7418706,3083834,155231,"Oxybasis urbica (L.) S.Fuentes, Uotila & Borsch",Plantae,SPECIES
8149099,3083851,155221,"Chenopodiastrum murale (L.) S.Fuentes, Uotila & Borsch",Plantae,SPECIES
8044896,3083843,155213,Blitum bonus-henricus (L.) Rchb.,Plantae,SPECIES
5568322,3083909,155227,Dysphania schraderiana (Schult.) Mosyakin & Clemants,Plantae,SPECIES
5568428,3083858,155214,Dysphania botrys (L.) Mosyakin & Clemants,Plantae,SPECIES
3083838,3083941,155229,Chenopodium album L.,Plantae,SPECIES
