taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160882215,2264796,SI,present,introduced,,,,
160882225,2327735,SI,present,introduced,,,,
160882228,3277417,SI,present,introduced,invasive,,,
160882230,3277396,SI,present,introduced,,,,
160882232,3277396,SI,present,introduced,,,,
160882234,3203610,SI,present,introduced,,,,
160882235,2501248,SI,present,introduced,,,,
160882236,3203716,SI,present,introduced,,,,
160882238,3203716,SI,present,introduced,invasive,,,
160882240,3203617,SI,present,introduced,,,,
160882242,3203617,SI,present,introduced,,,,
160882243,5233152,SI,present,introduced,,,,
160882244,3203610,SI,present,introduced,,,,
160882245,3277404,SI,present,introduced,,,,
160882247,3277404,SI,present,introduced,,,,
160882250,3203674,SI,present,introduced,invasive,,,
160882252,3203674,SI,present,introduced,,,,
160882253,3203618,SI,present,introduced,invasive,,,
160882254,4363583,SI,present,introduced,,,,
160882255,3203618,SI,present,introduced,,,,
160882257,3277457,SI,present,introduced,,,,
160882259,3277457,SI,present,introduced,,,,
160882260,9680062,SI,present,introduced,,,,
160882261,3203622,SI,present,introduced,invasive,,,
160882263,3203622,SI,present,introduced,,,,
160882265,3203625,SI,present,introduced,,,,
160882266,3203682,SI,present,introduced,,,,
160882268,3203553,SI,present,introduced,,,,
160882270,3204123,SI,present,introduced,,,,
4372686,2287753,SI,present,introduced,,,,
3276850,3204095,SI,present,introduced,,,,
160882273,3203734,SI,present,introduced,,,,
160882275,3203836,SI,present,introduced,,,,
8360203,3203735,SI,present,introduced,,,,
160882279,3203855,SI,present,introduced,,,,
7820753,2286069,SI,present,introduced,,,,
160882281,3277157,SI,present,introduced,,,,
160882283,3203730,SI,present,introduced,,,,
160882285,3203749,SI,present,introduced,,,,
160882286,6531311,SI,present,introduced,invasive,,,
3203870,3203870,SI,present,introduced,,,,
160882288,6531311,SI,present,introduced,,,,
160882289,3203768,SI,present,introduced,,,,
160882291,3203751,SI,present,introduced,,,,
160882293,3203913,SI,present,introduced,,,,
160882294,6529629,SI,present,introduced,,,,
160882295,5424258,SI,present,introduced,,,,
160882296,5188945,SI,present,introduced,,,,
160882301,3202936,SI,present,introduced,invasive,,,
160882306,2443002,SI,present,introduced,,,,
160882307,3203258,SI,present,introduced,,,,
160882309,5220435,SI,present,introduced,,,,
160882318,2436940,SI,present,introduced,,,,
160882323,2593065,SI,present,introduced,invasive,,,
160882324,5219858,SI,present,introduced,,,,
160882325,2593060,SI,present,introduced,invasive,,,
160882327,2593120,SI,present,introduced,,,,
160882328,2439270,SI,present,introduced,,,,
160882329,2593110,SI,present,introduced,invasive,,,
160882330,2439261,SI,present,introduced,,,,
160882332,7429082,SI,present,introduced,,,,
160882336,4264680,SI,present,introduced,,,,
160882337,3374230,SI,present,introduced,,,,
5218823,2433652,SI,present,introduced,,,,
160882345,5219219,SI,present,introduced,,,,
160882346,8555773,SI,present,introduced,invasive,,,
160882351,5258630,SI,present,introduced,,,,
4262706,4409366,SI,present,introduced,,,,
160882354,2441110,SI,present,introduced,,,,
160882355,2441055,SI,present,introduced,,,,
160882359,5220136,SI,present,introduced,,,,
160882361,2440934,SI,present,introduced,,,,
160882363,2579659,SI,present,introduced,,,,
160882368,2497522,SI,present,introduced,,,,
6101223,2495659,SI,present,introduced,,,,
160882374,5495312,SI,present,introduced,,,,
6101224,2495715,SI,present,introduced,,,,
160882380,2577948,SI,present,introduced,invasive,,,
160882381,2480410,SI,present,introduced,,,,
160882382,5255338,SI,present,introduced,,,,
160882384,2578258,SI,present,introduced,,,,
160882386,2578515,SI,present,introduced,invasive,,,
160882387,5229055,SI,present,introduced,,,,
160882388,2578415,SI,present,introduced,,,,
160882389,2479226,SI,present,introduced,,,,
160882390,2479977,SI,present,introduced,,,,
160882391,2578830,SI,present,introduced,invasive,,,
160882392,2479798,SI,present,introduced,,,,
160882393,2578649,SI,present,introduced,,,,
160882396,2578759,SI,present,introduced,invasive,,,
160882397,8069880,SI,present,introduced,,,,
160882398,2578586,SI,present,introduced,invasive,,,
160882400,2578778,SI,present,introduced,invasive,,,
160882402,2473341,SI,present,introduced,,,,
160882403,2578489,SI,present,introduced,invasive,,,
160882405,2578424,SI,present,introduced,invasive,,,
160882406,9791464,SI,present,introduced,,,,
160882407,2578322,SI,present,introduced,,,,
160882409,9752149,SI,present,introduced,invasive,,,
160882410,2578272,SI,present,introduced,,,,
160882411,2474029,SI,present,introduced,,,,
160882413,2474051,SI,present,introduced,,,,
160882418,2498015,SI,present,introduced,,,,
160882420,2498305,SI,present,introduced,,,,
160882421,2498181,SI,present,introduced,,,,
160882423,2498408,SI,present,introduced,,,,
160882424,2586797,SI,present,introduced,,,,
160882425,2498402,SI,present,introduced,,,,
160882426,2586748,SI,present,introduced,invasive,,,
160882427,2498344,SI,present,introduced,,,,
160882428,2498343,SI,present,introduced,invasive,,,
160882430,2498046,SI,present,introduced,,,,
160882431,8313437,SI,present,introduced,invasive,,,
160882432,2498384,SI,present,introduced,,,,
160882433,9751099,SI,present,introduced,,,,
160882435,5232446,SI,present,introduced,,,,
160882436,5232437,SI,present,introduced,,,,
160882438,2498034,SI,present,introduced,,,,
8365396,5255908,SI,present,introduced,invasive,,,
160882440,2498035,SI,present,introduced,,,,
160882441,2498090,SI,present,introduced,,,,
160882442,2580559,SI,present,introduced,invasive,,,
9235549,2498107,SI,present,introduced,,,,
160882444,2580627,SI,present,introduced,invasive,,,
9496048,2498071,SI,present,introduced,,,,
9508460,2498110,SI,present,introduced,,,,
160882448,2498252,SI,present,introduced,,,,
160882450,2498387,SI,present,introduced,,,,
160882451,2498388,SI,present,introduced,,,,
2583232,5256647,SI,present,introduced,,,,
160882458,2486147,SI,present,introduced,,,,
160882462,2580870,SI,present,introduced,invasive,,,
160882464,2490494,SI,present,introduced,,,,
160882465,2581196,SI,present,introduced,invasive,,,
160882469,5231210,SI,present,introduced,,,,
160882470,7230558,SI,present,introduced,,,,
160882474,5231398,SI,present,introduced,,,,
160882478,2575053,SI,present,introduced,invasive,,,
160882480,2491521,SI,present,introduced,,,,
160882483,2491517,SI,present,introduced,,,,
160882485,2668884,SI,present,introduced,,,,
160882487,5254314,SI,present,introduced,invasive,,,
160882488,2493633,SI,present,introduced,,,,
160882489,5279840,SI,present,introduced,,,,
160882490,2493598,SI,present,introduced,,,,
160882493,2493660,SI,present,introduced,,,,
160882494,2493698,SI,present,introduced,,,,
160882500,2489005,SI,present,introduced,,,,
2563919,2563905,SI,present,introduced,invasive,,,
160882504,5285604,SI,present,introduced,,,,
160882507,5285565,SI,present,introduced,,,,
7840722,5251680,SI,present,introduced,,,,
160882510,5285165,SI,present,introduced,,,,
160882511,2374535,SI,present,introduced,,,,
160882513,5284982,SI,present,introduced,,,,
10814921,9028102,SI,present,introduced,,,,
160882516,2685796,SI,present,introduced,,,,
160882517,4285968,SI,present,introduced,,,,
160882522,2684178,SI,present,introduced,,,,
160882523,4285694,SI,present,introduced,,,,
160882524,2569149,SI,present,introduced,invasive,,,
160882525,2684855,SI,present,introduced,,,,
2684855,2684860,SI,present,introduced,,,,
160882529,2394563,SI,present,introduced,invasive,,,
160882531,2394486,SI,present,introduced,invasive,,,
2569005,5253592,SI,present,introduced,,,,
160882536,8884140,SI,present,introduced,,,,
160882538,2350570,SI,present,introduced,invasive,,,
160882543,5274858,SI,present,introduced,,,,
160882545,2575249,SI,present,introduced,invasive,,,
160882546,2650107,SI,present,introduced,,,,
160882547,2351259,SI,present,introduced,,,,
160882549,2351271,SI,present,introduced,,,,
160882551,2592401,SI,present,introduced,,,,
160882552,5204019,SI,present,introduced,invasive,,,
160882555,2351211,SI,present,introduced,,,,
160882556,2576553,SI,present,introduced,,,,
160882560,3461069,SI,present,introduced,invasive,,,
160882561,2739071,SI,present,introduced,,,,
160882562,2362868,SI,present,introduced,invasive,,,
160882563,9115053,SI,present,introduced,invasive,,,
160882565,2362110,SI,present,introduced,,,,
160882568,2362486,SI,present,introduced,,,,
160882570,2362473,SI,present,introduced,,,,
160882571,5328909,SI,present,introduced,,,,
7440379,5252679,SI,present,introduced,,,,
160882573,2362030,SI,present,introduced,invasive,,,
160882576,4286942,SI,present,introduced,,,,
160882577,2366634,SI,present,introduced,,,,
2568530,2568517,SI,present,introduced,,,,
160882579,2870583,SI,present,introduced,,,,
160882581,5253510,SI,present,introduced,invasive,,,
160882585,5202793,SI,present,introduced,,,,
160882586,5329212,SI,present,introduced,,,,
160882589,2865448,SI,present,introduced,,,,
7542231,5253417,SI,present,introduced,invasive,,,
160882591,2340977,SI,present,introduced,invasive,,,
160882592,2567763,SI,present,introduced,,,,
160882594,2340989,SI,present,introduced,invasive,,,
160882599,2566393,SI,present,introduced,invasive,,,
160882600,2858896,SI,present,introduced,,,,
160882601,5212833,SI,present,introduced,,,,
160882603,4287131,SI,present,introduced,,,,
160882604,2858244,SI,present,introduced,,,,
5952582,5252955,SI,present,introduced,invasive,,,
160882610,7638976,SI,present,introduced,invasive,,,
160882611,5296097,SI,present,introduced,,,,
160882613,5252870,SI,present,introduced,,,,
160882615,5298765,SI,present,introduced,,,,
160882616,2234831,SI,present,introduced,,,,
160882623,2781074,SI,present,introduced,,,,
7783291,2140000,SI,present,introduced,,,,
160882631,2773281,SI,present,introduced,,,,
160882633,5262809,SI,present,introduced,invasive,,,
160882634,5304283,SI,present,introduced,,,,
160882635,2155847,SI,present,introduced,,,,
160882636,5262827,SI,present,introduced,invasive,,,
