taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
87660,160882218,Ceratoperidinium margalefii A.R.Loeblich III,not_matched_with_backbone,,Ceratoperidinium margalefii A.R.Loeblich III
87600,160882243,"Beroe ovata BruguiÃ¨re, 1789",scientificName_replaced_by_backbone_name,5233152,"Beroe ovata Bruguière, 1789"
88086,160882245,"Phytophthora alni Brasier & S.A.Kirk, 2004",scientificName_replaced_by_backbone_name,3277404,Phytophthora alni Brasier & S.A.Kirk
88085,160882247,"Phytophthora alni Brasier & S.A.Kirk, 2004",scientificName_replaced_by_backbone_name,3277404,Phytophthora alni Brasier & S.A.Kirk
88087,160882252,Phytophthora cactorum (Lebert & Cohn) J.SchrÃ¶t.,scientificName_replaced_by_backbone_name,3203674,Phytophthora cactorum (Lebert & Cohn) J.Schröt.
88329,160882271,"Venerupis philippinarum (Adams & Reeve, 1850)",merged_with_accepted,4372686,"Ruditapes philippinarum (A.Adams & Reeve, 1850)"
88115,160882272,Plasmopara nivea (Unger) J.SchrÃ¶t.,merged_with_accepted,3276850,Peronospora crustosa (Fr.) Fr.
88056,160882277,Peronospora viciae (Berk.) de Bary,merged_with_accepted,8360203,Peronospora viciae (Berk.) Casp.
87706,160882280,"Crassostrea gigas (Thunberg, 1793)",merged_with_accepted,7820753,"Magallana gigas (Thunberg, 1793)"
87577,160882286,"Arcuatula senhousia (Benson, 1842)",scientificName_replaced_by_backbone_name,6531311,"Arcuatula senhousia (W.H.Benson, 1842)"
88051,160882287,Peronospora grisea (Unger) de Bary,merged_with_accepted,3203870,Peronospora grisea (Unger) de Bary
87578,160882288,"Arcuatula senhousia (Benson, 1842)",scientificName_replaced_by_backbone_name,6531311,"Arcuatula senhousia (W.H.Benson, 1842)"
87524,160882307,Albugo candida (Pers.) Roussel,scientificName_replaced_by_backbone_name,3203258,Albugo candida (Pers. ex J.F.Gmel.) Roussel
88044,160882309,"Pelodiscus sinensis (Wiegmann, 1835)",scientificName_replaced_by_backbone_name,5220435,"Pelodiscus sinensis Wiegmann, 1835"
88012,160882315,"Oidium verbenae ThÃ¼m. & P.C.Bolle, 1885",not_matched_with_backbone,,"Oidium verbenae ThÃ¼m. & P.C.Bolle, 1885"
88278,160882325,Taphrina pruni Tul.,scientificName_replaced_by_backbone_name,2593060,Taphrina pruni (Fuckel) Tul.
88275,160882327,Taphrina bullata (Berk. & Broome) Tul.,scientificName_replaced_by_backbone_name,2593120,Taphrina bullata (Berk.) Tul.
87996,160882341,"Neovison vison (Schreber, 1777)",merged_with_accepted,5218823,"Mustela vison Schreber, 1777"
88112,160882346,Pithya cupressina Fuckel,scientificName_replaced_by_backbone_name,8555773,Pithya cupressina (Batsch) Fuckel
87842,160882351,Geopora sumneriana (Cooke) M.Torre,scientificName_replaced_by_backbone_name,5258630,Geopora sumneriana (Cooke ex W.Phillips) M.Torre
87641,160882352,"Capra aegagrus Erxleben, 1777",merged_with_accepted,4262706,"Capra hircus aegagrus Erxleben, 1777"
88254,160882356,Strasseria geniculata (Berk. & Broome) HÃ¶hn.,not_matched_with_backbone,,Strasseria geniculata (Berk. & Broome) HÃ¶hn.
87929,160882365,Lophodermium piceae (Fuckel) HÃ¶hn.,not_matched_with_backbone,,Lophodermium piceae (Fuckel) HÃ¶hn.
88256,160882373,"Streptopelia senegalensis (Linnaeus, 1766)",merged_with_accepted,6101223,"Spilopelia senegalensis (Linnaeus, 1766)"
88255,160882375,"Streptopelia chinensis (Scopoli, 1786)",merged_with_accepted,6101224,"Spilopelia chinensis (Scopoli, 1786)"
