taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160882215,2264796,87975,"Muggiaea atlantica Cunningham, 1892",Animalia,SPECIES
160882225,2327735,87831,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,SPECIES
160882228,3277417,88101,Phytophthora plurivora T.Jung & T.I.Burgess,Chromista,SPECIES
160882230,3277396,88102,Phytophthora pseudosyringae T.Jung & Delatour,Chromista,SPECIES
160882232,3277396,88103,Phytophthora pseudosyringae T.Jung & Delatour,Chromista,SPECIES
160882234,3203610,88104,"Phytophthora ramorum Werres, De Cock & Man",Chromista,SPECIES
160882235,2501248,87969,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
160882236,3203716,88097,Phytophthora infestans (Mont.) de Bary,Chromista,SPECIES
160882238,3203716,88098,Phytophthora infestans (Mont.) de Bary,Chromista,SPECIES
160882240,3203617,88099,"Phytophthora kernoviae Brasier, Beales & S.A.Kirk",Chromista,SPECIES
160882242,3203617,88100,"Phytophthora kernoviae Brasier, Beales & S.A.Kirk",Chromista,SPECIES
160882243,5233152,87600,"Beroe ovata Bruguière, 1789",Animalia,SPECIES
160882244,3203610,88105,"Phytophthora ramorum Werres, De Cock & Man",Chromista,SPECIES
160882245,3277404,88086,Phytophthora alni Brasier & S.A.Kirk,Chromista,SPECIES
160882247,3277404,88085,Phytophthora alni Brasier & S.A.Kirk,Chromista,SPECIES
160882250,3203674,88088,Phytophthora cactorum (Lebert & Cohn) J.Schröt.,Chromista,SPECIES
160882252,3203674,88087,Phytophthora cactorum (Lebert & Cohn) J.Schröt.,Chromista,SPECIES
160882253,3203618,88094,Phytophthora gonapodyides (H.E.Petersen) Buisman,Chromista,SPECIES
160882254,4363583,88175,"Rapana venosa (Valenciennes, 1846)",Animalia,SPECIES
160882255,3203618,88093,Phytophthora gonapodyides (H.E.Petersen) Buisman,Chromista,SPECIES
160882257,3277457,88096,Phytophthora hedraiandra De Cock & Man,Chromista,SPECIES
160882259,3277457,88095,Phytophthora hedraiandra De Cock & Man,Chromista,SPECIES
160882260,9680062,87628,"Bursatella leachii Blainville, 1817",Animalia,SPECIES
160882261,3203622,88090,Phytophthora cambivora (Petri) Buisman,Chromista,SPECIES
160882263,3203622,88089,Phytophthora cambivora (Petri) Buisman,Chromista,SPECIES
160882265,3203625,88092,Phytophthora citricola Sawada,Chromista,SPECIES
160882266,3203682,88091,Phytophthora cinnamomi Rands,Chromista,SPECIES
160882268,3203553,88057,Peronospora violae de Bary,Chromista,SPECIES
160882270,3204123,88116,Plasmopara viticola (Berk. & M.A.Curtis) Berl. & De Toni,Chromista,SPECIES
4372686,2287753,88329,"Ruditapes philippinarum (A.Adams & Reeve, 1850)",Animalia,SPECIES
3276850,3204095,88115,Peronospora crustosa (Fr.) Fr.,Chromista,SPECIES
