taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
125784,160949788,Didymosphenia geminata (Lyngb.) M.Schmidt,scientificName_replaced_by_backbone_name,8030069,"Didymosphenia geminatum (Lyngbye) M.Schmidt, 1899"
126216,160949794,"Rhopilema nomadica Galil, 1990",scientificName_replaced_by_backbone_name,2264597,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990"
126054,160949802,"Oculina patagonica de Angelis, 1908",scientificName_replaced_by_backbone_name,5184825,"Oculina patagonica de Angelis D'Ossat, 1908"
126314,160949803,"Stypopodium schimperi (Kützing) M.Verlaque & Boudouresque, 1991",scientificName_replaced_by_backbone_name,3200580,Stypopodium schimperi (Kützing) Verlaque & Boudouresque
126276,160949810,"Sertularia marginata (Kirchenpauer, 1864)",merged_with_accepted,4282894,"Tridentata marginata (Kirchenpauer, 1864)"
126102,160949815,"Papenfussiella kuromo (Yendo) Inagaki, 1958",not_matched_with_backbone,,"Papenfussiella kuromo (Yendo) Inagaki, 1958"
126259,160949823,Scytosiphon dotyi Wynne,scientificName_replaced_by_backbone_name,5422829,"Scytosiphon dotyi M.J.Wynne, 1969"
125649,160949826,"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934), 1970",merged_with_accepted,5777790,"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934), 1970"
125724,160949827,Colpomenia sinuosa (Mert. ex Roth) DerbÃ¨s & Solier,scientificName_replaced_by_backbone_name,3197958,Colpomenia sinuosa (Mert. ex Roth) Derbès & Solier
125718,160949840,Codium fragile (Suringar) Hariot,scientificName_replaced_by_backbone_name,5272096,Codium fragile (Suringar) Har.
125720,160949842,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,merged_with_accepted,7230558,Codium fragile subsp. fragile
125684,160949847,"Caulerpa racemosa var. cylindracea (Sonder) Verlaque, Huisman & Boudouresque, 2003",merged_with_accepted,2643131,"Caulerpa cylindracea Sonder, 1845"
125574,160949856,"Amynthas gracilis (Kinberg, 1867)",scientificName_replaced_by_backbone_name,2307609,"Amynthas gracilis (Kinberg, 1866)"
125573,160949858,"Amynthas corticis (Kinberg, 1867)",scientificName_replaced_by_backbone_name,2307610,"Amynthas corticis (Kinberg, 1866)"
126251,160949861,"Scinaia acuta M.J.Wynne, 2005",scientificName_replaced_by_backbone_name,6453133,Scinaia acuta M.J.Wynne
126182,160949867,"Predaea huismanii Kraft, 1984",not_matched_with_backbone,,"Predaea huismanii Kraft, 1984"
125962,160949883,"Limnoperna securis (Lamarck, 1819)",merged_with_accepted,5188827,"Xenostrobus securis (Lamarck, 1819)"
126178,160949894,"Potamocorbula amurensis (Schrenck, 1861)",scientificName_replaced_by_backbone_name,2288926,"Potamocorbula amurensis (Schrenck, 1862)"
