taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160949785,2501248,126018,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
160949788,8030069,125784,"Didymosphenia geminatum (Lyngbye) M.Schmidt, 1899",Chromista,SPECIES
160949794,2264597,126216,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990",Animalia,SPECIES
160949797,5422556,126361,Undaria pinnatifida (Harv.) Suringar,Chromista,SPECIES
160949802,5184825,126054,"Oculina patagonica de Angelis D'Ossat, 1908",Animalia,SPECIES
160949803,3200580,126314,Stypopodium schimperi (Kützing) Verlaque & Boudouresque,Chromista,SPECIES
160949809,3197314,126245,Sargassum muticum (Yendo) Fensholt,Chromista,SPECIES
4282894,12382748,126276,"Tridentata marginata (Kirchenpauer, 1864)",Animalia,SPECIES
160949816,2266009,125736,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
160949817,3198882,125739,Corynophlaea cystophorae J.Agardh,Chromista,SPECIES
160949823,5422829,126259,"Scytosiphon dotyi M.J.Wynne, 1969",Chromista,SPECIES
160949825,3197970,125723,Colpomenia peregrina Sauv.,Chromista,SPECIES
5777790,5777790,125649,"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934), 1970",Animalia,SPECIES
160949827,3197958,125724,Colpomenia sinuosa (Mert. ex Roth) Derbès & Solier,Chromista,SPECIES
160949837,2321419,126104,"Paraprionospio coora Wilson, 1990",Animalia,SPECIES
160949838,7230558,125719,Codium fragile subsp. fragile,Plantae,SUBSPECIES
160949840,5272096,125718,Codium fragile (Suringar) Har.,Plantae,SPECIES
7230558,5272099,125720,Codium fragile subsp. fragile,Plantae,SUBSPECIES
160949844,2327735,125848,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,SPECIES
160949845,2643131,125682,"Caulerpa cylindracea Sonder, 1845",Plantae,SPECIES
2643131,2643128,125684,"Caulerpa cylindracea Sonder, 1845",Plantae,SPECIES
160949848,5854272,125636,"Branchiomma bairdi (McIntosh, 1885)",Animalia,SPECIES
160949849,2643093,125683,Caulerpa racemosa (Forssk.) J.Agardh,Plantae,SPECIES
160949851,2643172,125685,Caulerpa taxifolia (M.Vahl) C.Agardh,Plantae,SPECIES
160949856,2307609,125574,"Amynthas gracilis (Kinberg, 1866)",Animalia,SPECIES
160949858,2307610,125573,"Amynthas corticis (Kinberg, 1866)",Animalia,SPECIES
160949861,6453133,126251,Scinaia acuta M.J.Wynne,Plantae,SPECIES
160949869,4559541,126286,"Sinanodonta woodiana (I.Lea, 1834)",Animalia,SPECIES
160949872,5278964,125866,Gracilaria vermiculophylla (Ohmi) Papenfuss,Plantae,SPECIES
160949875,5189038,126332,"Theora lubrica Gould, 1861",Animalia,SPECIES
160949878,2658889,125868,Grateloupia turuturu Yamada,Plantae,SPECIES
160949881,5188827,126389,"Xenostrobus securis (Lamarck, 1819)",Animalia,SPECIES
5188827,6531560,125962,"Xenostrobus securis (Lamarck, 1819)",Animalia,SPECIES
160949884,2668884,125632,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
160949887,5279834,125598,Asparagopsis taxiformis (Delile) Trevis.,Plantae,SPECIES
160949888,2287249,125824,"Ensis directus (Conrad, 1844)",Animalia,SPECIES
160949889,5279840,125597,Asparagopsis armata Harv.,Plantae,SPECIES
160949894,2288926,126178,"Potamocorbula amurensis (Schrenck, 1862)",Animalia,SPECIES
160949897,5277463,126383,Womersleyella setacea (Hollenberg) R.E.Norris,Plantae,SPECIES
160949898,2287076,126036,"Mytilopsis leucophaeata (Conrad, 1831)",Animalia,SPECIES
9738520,7776152,126039,Melanothamnus harveyi (Bailey) Diaz-Tapia & Maggs,Plantae,SPECIES
160949900,2287073,125796,"Dreissena bugensis (Andrusov, 1897)",Animalia,SPECIES
160949901,2659723,125972,"Lophocladia lallemandii (Mont.) F.Schmitz, 1893",Plantae,SPECIES
160949902,2287072,125797,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
160949903,2660959,125936,Laurencia caduciramulosa Masuda & Kawag.,Plantae,SPECIES
160949907,2287668,126012,"Mercenaria mercenaria (Linnaeus, 1758)",Animalia,SPECIES
160949911,5189032,125735,"Corbicula fluminalis (O.F.Müller, 1774)",Animalia,SPECIES
160949912,5276982,125691,"Ceramium cingulatum Weber Bosse, 1923",Plantae,SPECIES
160949915,2657449,125582,Antithamnion diminuatum Wollaston,Plantae,SPECIES
160949917,2658484,125524,Acrothamnion preissii (Sonder) E.M.Wollaston,Plantae,SPECIES
2306080,12374483,126337,"Tonicia chilensis (Frembly, 1827)",Animalia,SPECIES
160949921,2306165,125704,"Chiton cumingsii Frembly, 1827",Animalia,SPECIES
160949928,2688189,126263,Selaginella kraussiana (Kunze) A.Braun,Plantae,SPECIES
160949929,2292582,126167,"Pomacea canaliculata (Lamarck, 1822)",Animalia,SPECIES
160949930,2688197,126264,Selaginella selaginoides (L.) Schrank & C.F.P.Mart.,Plantae,SPECIES
160949933,4362965,125997,"Melanoides tuberculata (O.F.Müller, 1774)",Animalia,SPECIES
160949938,5285565,126153,Pinus pinaster Aiton,Plantae,SPECIES
9520065,2291152,125847,"Ferrissia californica (Rowell, 1863)",Animalia,SPECIES
160949940,5285727,126154,Pinus radiata D.Don,Plantae,SPECIES
160949941,4562197,125872,"Gyraulus chinensis (Dunker, 1848)",Animalia,SPECIES
160949942,5285604,126152,Pinus halepensis Mill.,Plantae,SPECIES
160949946,5192470,126179,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
160949947,2684070,125757,Cupressus macrocarpa Hartw. ex Gordon,Plantae,SPECIES
160949948,2684030,125758,Cupressus sempervirens L.,Plantae,SPECIES
160949951,5192789,125751,"Crepidula fornicata (Linnaeus, 1758)",Animalia,SPECIES
160949956,5727495,125988,"Marginella glabella (Linnaeus, 1758)",Animalia,SPECIES
160949957,5274875,125990,Marsilea quadrifolia L.,Plantae,SPECIES
160949961,5274858,126241,Salvinia natans (L.) All.,Plantae,SPECIES
8608139,4368237,125760,"Tritia neritea (Linnaeus, 1758)",Animalia,SPECIES
160949963,2650107,125620,Azolla filiculoides Lam.,Plantae,SPECIES
160949968,5189806,126150,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
160949969,2650927,126041,Nephrolepis exaltata (L.) Schott,Plantae,SPECIES
160949973,2650829,125775,Cyrtomium falcatum (L.fil.) C.Presl,Plantae,SPECIES
8790531,10928934,125518,"Lissachatina fulica (Bowdich, 1822)",Animalia,SPECIES
160949977,2650669,125604,Asplenium scolopendrium L.,Plantae,SPECIES
160949983,4650395,126061,"Ommatoiulus moreleti (Lucas, 1860)",Animalia,SPECIES
160949984,2651826,125526,Adiantum raddianum C.Presl,Plantae,SPECIES
160949986,5275406,126193,Pteris tremula R.Br.,Plantae,SPECIES
160949988,5275415,126192,Pteris multifida Poir.,Plantae,SPECIES
160949990,5275398,126194,Pteris vittata L.,Plantae,SPECIES
160949991,8443055,125840,"Fabaeformiscandona subacuta (Yang, 1982)",Animalia,SPECIES
160949992,5275404,126191,Pteris cretica L.,Plantae,SPECIES
160949994,2651839,125525,Adiantum hispidulum Sw.,Plantae,SPECIES
160949999,2139331,125800,"Dysdera crocata C.L.Koch, 1838",Animalia,SPECIES
160950003,5294595,126380,Washingtonia robusta H.Wendl.,Plantae,SPECIES
6109529,6109529,126143,Phoenix canariensis hort. ex Chabaud,Plantae,SPECIES
160950006,2218531,126322,"Talitroides alluaudi (Chevreux, 1896)",Animalia,SPECIES
160950007,6109699,126144,Phoenix dactylifera L.,Plantae,SPECIES
160950010,2220092,126103,"Paracaprella pusilla Mayer, 1890",Animalia,SPECIES
2765942,2765940,125811,Pontederia crassipes Mart.,Plantae,SPECIES
160950015,4315705,125787,"Dikerogammarus villosus (Sowinsky, 1894)",Animalia,SPECIES
7227457,5303583,126397,Tradescantia zebrina var. zebrina,Plantae,VARIETY
160950019,5178057,125664,"Caprella mutica Schurin, 1935",Animalia,SPECIES
160950021,5178082,125665,"Caprella scaura Templeton, 1836",Animalia,SPECIES
2765221,2765225,126278,Tradescantia pallida (Rose) D.R.Hunt,Plantae,SPECIES
160950025,2765318,126339,Tradescantia cerinthoides Kunth,Plantae,SPECIES
160950026,2224970,126097,"Palaemon macrodactylus M.J.Rathbun, 1902",Animalia,SPECIES
160950027,2765156,126340,Tradescantia fluminensis Vell.,Plantae,SPECIES
160950029,2764202,125727,Commelina diffusa Burm.f.,Plantae,SPECIES
160950030,2226990,126096,"Pacifastacus leniusculus (Dana, 1852)",Animalia,SPECIES
160950031,2763941,125726,Commelina benghalensis L.,Plantae,SPECIES
160950034,2227300,126183,"Procambarus clarkii (Girard, 1852)",Animalia,SPECIES
8909595,2227000,126080,"Faxonius limosus (Rafinesque, 1817)",Animalia,SPECIES
160950037,5329570,125893,Hydrilla verticillata (L.f.) Royle,Plantae,SPECIES
160950039,5329212,125820,Elodea nuttallii (Planch.) H.St.John,Plantae,SPECIES
160950040,2225783,126134,"Percnon gibbesi (H.Milne Edwards, 1853)",Animalia,SPECIES
160950041,2865448,125819,Elodea canadensis Michx.,Plantae,SPECIES
160950043,2225776,125830,"Eriocheir sinensis H.Milne Edwards, 1853",Animalia,SPECIES
5329263,5329260,125809,Elodea densa (Planch.) Casp.,Plantae,SPECIES
160950047,2227663,126215,"Rhithropanopeus harrisii (Gould, 1841)",Animalia,SPECIES
160950048,5330092,126382,Wolffia arrhiza (L.) Horkel ex Wimm.,Plantae,SPECIES
160950049,2227670,125801,"Dyspanopeus sayi (Smith, 1869)",Animalia,SPECIES
160950050,2868827,126395,Zantedeschia aethiopica (L.) Spreng.,Plantae,SPECIES
160950052,2870583,126156,Pistia stratiotes L.,Plantae,SPECIES
160950053,4417558,125703,"Cherax destructor Clark, 1936",Animalia,SPECIES
160950054,2867614,125943,Lemna minuta Kunth,Plantae,SPECIES
160950056,5330776,125722,Colocasia esculenta (L.) Schott,Plantae,SPECIES
160950057,5178595,125668,"Carcinus maenas (Linnaeus, 1758)",Animalia,SPECIES
160950062,2762680,126026,Musa acuminata Colla,Plantae,SPECIES
160950063,6284535,126170,"Porcellio laevis Latreille, 1804",Animalia,SPECIES
160950064,2211355,126171,"Porcellionides pruinosus (Brandt, 1833)",Animalia,SPECIES
160950066,7194249,126172,Porcellionides sexfasciatus sexfasciatus,Animalia,SUBSPECIES
160950067,8034409,125661,Canna indica L.,Plantae,SPECIES
160950070,2758700,125879,Hedychium gardnerianum Sheph. ex Ker Gawl.,Plantae,SPECIES
160950071,2207855,126346,"Trichoniscus pygmaeus G.O.Sars, 1898",Animalia,SPECIES
160950072,5301979,125549,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Plantae,SPECIES
160950073,2208212,125876,"Haplophthalmus danicus Budde-Lund, 1880",Animalia,SPECIES
160950077,5176082,125821,"Eluma caelata (Miers, 1878)",Animalia,SPECIES
160950078,2753090,125961,Lilium candidum L.,Plantae,SPECIES
160950079,2203611,125592,"Armadillidium vulgare (Latreille, 1804)",Animalia,SPECIES
2753724,2753740,125550,Alstroemeria pelegrina L.,Plantae,SPECIES
160950087,2235060,126349,"Triops longicaudatus (LeConte, 1846)",Animalia,SPECIES
2714158,2714166,125772,Cyperus alternifolius subsp. flabelliformis Kük.,Plantae,SUBSPECIES
5180090,5180091,125593,"Artemia monica Verrill, 1869",Animalia,SPECIES
160950094,2714818,125773,Cyperus rotundus L.,Plantae,SPECIES
160950096,2715482,125770,Cyperus eragrostis Lam.,Plantae,SPECIES
160950099,2716226,125771,Cyperus esculentus L.,Plantae,SPECIES
160950100,1031164,125875,"Haploembia solieri (Rambur, 1842)",Animalia,SPECIES
160950106,6247411,126372,"Vespa velutina nigrithorax Buysson, 1905",Animalia,SUBSPECIES
8124374,6312615,126130,Cenchrus orientalis (Rich.) Morrone,Plantae,SPECIES
160950110,4492212,126362,"Urocerus albicornis (Fabricius, 1781)",Animalia,SPECIES
5671694,4147327,126131,Cenchrus geniculatus Thunb.,Plantae,SPECIES
160950114,1365676,125823,"Encarsia guadeloupae Viggiani, 1987",Animalia,SPECIES
5828220,2706158,126128,Cenchrus purpureus (Schumach.) Morrone,Plantae,SPECIES
160950117,1323402,126328,"Tetramorium bicarinatum (Nylander, 1846)",Animalia,SPECIES
160950119,1323448,126330,"Tetramorium lanuginosum Mayr, 1870",Animalia,SPECIES
5828232,2706134,126129,Cenchrus setaceus (Forssk.) Morrone,Plantae,SPECIES
160950121,1323493,126329,"Tetramorium caldarium (Roger, 1857)",Animalia,SPECIES
160950123,5035187,126302,"Solenopsis geminata (Fabricius, 1804)",Animalia,SPECIES
5290192,2706154,126132,Cenchrus longisetus M.C.Johnst.,Plantae,SPECIES
160950125,1316805,126324,"Tapinoma melanocephalum (Fabricius, 1793)",Animalia,SPECIES
160950127,1321175,126199,"Pyramica membranifera (Emery, 1869)",Animalia,SPECIES
160950128,4127897,125982,Macrochloa tenacissima (L.) Kunth,Plantae,SPECIES
1325547,8295316,126052,"Paratrechina jaegerskioeldi (Mayr, 1904)",Animalia,SPECIES
160950131,1322635,126142,"Pheidole megacephala (Fabricius, 1793)",Animalia,SPECIES
160950132,4108550,125996,Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs,Plantae,SPECIES
160950133,1325561,126107,"Paratrechina longicornis (Latreille, 1802)",Animalia,SPECIES
160950134,1325547,126106,"Paratrechina jaegerskioeldi (Mayr, 1904)",Animalia,SPECIES
160950136,1314508,126019,"Monomorium destructor (Jerdon, 1851)",Animalia,SPECIES
5828197,2706141,126127,Cenchrus americanus (L.) Morrone,Plantae,SPECIES
160950138,1316908,125964,"Linepithema humile (Mayr, 1868)",Animalia,SPECIES
