taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
196155702,2402105,SE,present,introduced,,,,
196155703,3222886,SE,present,introduced,invasive,,,
196155704,2402168,SE,present,introduced,,,,
196155706,2402129,SE,present,introduced,,,,
196155713,2340989,SE,present,introduced,,,,
196155715,4382171,SE,present,introduced,invasive,,,
196155718,2362030,SE,present,introduced,,,,
196155720,4286975,SE,present,introduced,invasive,,,
196155722,2362486,SE,present,introduced,,,,
196155724,2362473,SE,present,introduced,,,,
196155725,3203610,SE,present,introduced,invasive,,,
196155726,4286942,SE,present,introduced,,,,
196155732,3202936,SE,present,introduced,invasive,,,
196155733,2394563,SE,present,introduced,,,,
196155737,2379089,SE,present,introduced,invasive,,,
196155742,3197970,SE,present,introduced,invasive,,,
196155743,5204039,SE,present,introduced,,,,
196155745,5204034,SE,present,introduced,,,,
196155747,3196387,SE,present,introduced,,,,
196155748,2351327,SE,present,introduced,invasive,,,
196155750,5204019,SE,present,introduced,invasive,,,
196155751,3197314,SE,present,introduced,invasive,,,
196155752,2351271,SE,present,introduced,invasive,,,
196155754,5711980,SE,present,introduced,,,,
196155757,2351413,SE,present,introduced,,,,
196155758,9355965,SE,present,introduced,,,,
196155764,5421557,SE,present,introduced,invasive,,,
196155765,2423443,SE,present,introduced,,,,
3193658,5421668,SE,present,introduced,,,,
9529916,5216588,SE,present,introduced,,,,
196155774,9501293,SE,present,introduced,,,,
2426654,2426655,SE,present,introduced,,,,
196155781,5824749,SE,present,introduced,invasive,,,
196155787,3194429,SE,present,introduced,invasive,,,
196155790,2331498,SE,present,introduced,,,,
196155797,8161087,SE,present,introduced,,,,
196155799,2481912,SE,present,introduced,,,,
196155800,7454879,SE,present,introduced,invasive,,,
2498167,2498165,SE,present,introduced,,,,
7729204,7729204,SE,present,introduced,,,,
196155807,2498344,SE,present,introduced,invasive,,,
196155810,2498347,SE,present,introduced,,,,
2498161,2498160,SE,present,introduced,,,,
196155814,2498252,SE,present,introduced,invasive,,,
196155815,7530747,SE,present,introduced,,,,
196155816,5232437,SE,present,introduced,invasive,,,
196155819,2498035,SE,present,introduced,,,,
196155820,3208017,SE,present,introduced,,,,
196155821,5232464,SE,present,introduced,,,,
196155823,2498388,SE,present,introduced,,,,
196155825,2498408,SE,present,introduced,,,,
196155826,3205121,SE,present,introduced,invasive,,,
196155827,9761484,SE,present,introduced,invasive,,,
196155829,2498027,SE,present,introduced,,,,
196155831,2498343,SE,present,introduced,,,,
8368630,8166987,SE,present,introduced,invasive,,,
196155833,5232453,SE,present,introduced,,,,
196155835,2498305,SE,present,introduced,invasive,,,
196155837,2498387,SE,present,introduced,,,,
9480191,2498096,SE,present,introduced,,,,
196155842,2498034,SE,present,introduced,,,,
196155843,3374230,SE,present,introduced,invasive,,,
196155848,2481047,SE,present,introduced,,,,
196155855,2495414,SE,present,introduced,invasive,,,
196155856,5239466,SE,present,introduced,,,,
196155861,2477927,SE,present,introduced,,,,
196155862,5239851,SE,present,introduced,,,,
196155864,5239873,SE,present,introduced,,,,
196155866,5239864,SE,present,introduced,invasive,,,
196155868,2473958,SE,present,introduced,invasive,,,
196155869,2525039,SE,present,introduced,,,,
196155870,2473577,SE,present,introduced,,,,
7191070,8379871,SE,present,introduced,,,,
196155877,9752149,SE,present,introduced,,,,
196155879,2474051,SE,present,introduced,,,,
196155884,5254231,SE,present,introduced,invasive,,,
196155887,2436940,SE,present,introduced,invasive,,,
196155889,7952072,SE,present,introduced,invasive,,,
196155892,2436756,SE,present,introduced,,,,
8313437,3498756,SE,present,introduced,invasive,,,
196155897,5219616,SE,present,introduced,,,,
196155898,2586748,SE,present,introduced,invasive,,,
196155900,2586797,SE,present,introduced,invasive,,,
196155905,5218823,SE,present,introduced,invasive,,,
196155907,2433753,SE,present,introduced,,,,
196155910,5265718,SE,present,introduced,invasive,,,
196155911,5219303,SE,present,introduced,invasive,,,
196155912,2434552,SE,present,introduced,,,,
196155914,5218786,SE,present,introduced,,,,
196155917,4409131,SE,present,introduced,invasive,,,
196155919,5219858,SE,present,introduced,invasive,,,
196155921,2437761,SE,present,introduced,,,,
196155922,2439270,SE,present,introduced,invasive,,,
196155923,7429082,SE,present,introduced,invasive,,,
196155924,5219833,SE,present,introduced,,,,
196155925,2439261,SE,present,introduced,invasive,,,
196155928,5220126,SE,present,introduced,,,,
196155929,5220136,SE,present,introduced,invasive,,,
196155930,2440965,SE,present,introduced,invasive,,,
196155931,2440958,SE,present,introduced,invasive,,,
196155933,7705930,SE,present,introduced,invasive,,,
196155935,2441122,SE,present,introduced,,,,
196155936,2441108,SE,present,introduced,,,,
196155940,8909809,SE,present,introduced,,,,
196155941,2443002,SE,present,introduced,,,,
196155946,2501171,SE,present,introduced,,,,
196155948,5233166,SE,present,introduced,,,,
196155951,2501248,SE,present,introduced,invasive,,,
196155956,7725417,SE,present,introduced,invasive,,,
196155960,4343706,SE,present,introduced,invasive,,,
196155964,4345755,SE,present,introduced,invasive,,,
196155969,2325845,SE,present,introduced,,,,
2321001,2320811,SE,present,introduced,,,,
196155974,2321012,SE,present,introduced,invasive,,,
196155975,2321010,SE,present,introduced,invasive,,,
196155976,2321011,SE,present,introduced,invasive,,,
196155980,2308604,SE,present,introduced,,,,
196155985,2308605,SE,present,introduced,,,,
196155987,2308609,SE,present,introduced,,,,
196155989,2308574,SE,present,introduced,,,,
196155991,4307880,SE,present,introduced,,,,
196155992,5272105,SE,present,introduced,invasive,,,
196155994,7230558,SE,present,introduced,invasive,,,
196156002,4346612,SE,present,introduced,invasive,,,
196156005,2677047,SE,present,introduced,invasive,,,
196156008,2283982,SE,present,introduced,invasive,,,
196156010,2683078,SE,present,introduced,,,,
196156011,5188667,SE,present,introduced,invasive,,,
196156012,2682966,SE,present,introduced,,,,
196156014,11174915,SE,present,introduced,invasive,,,
196156016,5281901,SE,present,introduced,invasive,,,
196156025,5270682,SE,present,introduced,,,,
196156027,2188249,SE,present,introduced,invasive,,,
196156033,4553496,SE,present,introduced,invasive,,,
196156034,5328909,SE,present,introduced,,,,
196156038,2865448,SE,present,introduced,invasive,,,
196156039,2128536,SE,present,introduced,,,,
196156040,5329198,SE,present,introduced,,,,
196156042,5329212,SE,present,introduced,invasive,,,
196156045,2149937,SE,present,introduced,invasive,,,
196156046,2867611,SE,present,introduced,,,,
196156049,5330580,SE,present,introduced,,,,
196156050,2871376,SE,present,introduced,,,,
2871376,2867779,SE,present,introduced,,,,
196156053,2000204,SE,present,introduced,invasive,,,
196156054,5151589,SE,present,introduced,invasive,,,
196156055,2867631,SE,present,introduced,,,,
196156056,5330661,SE,present,introduced,,,,
196156057,2000152,SE,present,introduced,invasive,,,
196156058,2869301,SE,present,introduced,,,,
196156059,2000161,SE,present,introduced,invasive,,,
196156060,5330733,SE,present,introduced,,,,
196156062,2867614,SE,present,introduced,,,,
196156063,2867616,SE,present,introduced,,,,
196156064,1994767,SE,present,introduced,,,,
196156065,2869311,SE,present,introduced,invasive,,,
196156068,1997215,SE,present,introduced,invasive,,,
196156070,1997400,SE,present,introduced,invasive,,,
196156071,2781074,SE,present,introduced,,,,
196156074,2781103,SE,present,introduced,,,,
196156075,1876542,SE,present,introduced,,,,
196156076,2781045,SE,present,introduced,,,,
196156077,1876941,SE,present,introduced,invasive,,,
196156079,1869858,SE,present,introduced,invasive,,,
196156080,2773448,SE,present,introduced,,,,
196156081,1873890,SE,present,introduced,invasive,,,
196156082,1878470,SE,present,introduced,invasive,,,
196156083,2772020,SE,present,introduced,,,,
196156084,1873903,SE,present,introduced,invasive,,,
196156085,2772094,SE,present,introduced,,,,
196156086,1873079,SE,present,introduced,invasive,,,
196156087,1875607,SE,present,introduced,invasive,,,
196156088,1877032,SE,present,introduced,invasive,,,
196156089,2772958,SE,present,introduced,,,,
196156090,1878490,SE,present,introduced,invasive,,,
196156091,1873919,SE,present,introduced,invasive,,,
5304294,10087251,SE,present,introduced,,,,
196156094,1837172,SE,present,introduced,invasive,,,
1835407,4528650,SE,present,introduced,,,,
196156096,2767229,SE,present,introduced,,,,
196156097,1836899,SE,present,introduced,invasive,,,
196156098,5304298,SE,present,introduced,,,,
196156100,5304257,SE,present,introduced,,,,
196156101,1749936,SE,present,introduced,,,,
196156102,2769493,SE,present,introduced,,,,
196156103,1749449,SE,present,introduced,invasive,,,
196156104,1750159,SE,present,introduced,invasive,,,
196156105,2773453,SE,present,introduced,,,,
196156106,5104903,SE,present,introduced,invasive,,,
196156107,2767312,SE,present,introduced,,,,
196156109,1852118,SE,present,introduced,invasive,,,
2767312,2767317,SE,present,introduced,,,,
196156111,1849209,SE,present,introduced,invasive,,,
196156113,5304283,SE,present,introduced,,,,
196156114,5102445,SE,present,introduced,invasive,,,
196156117,2769622,SE,present,introduced,,,,
196156118,1857626,SE,present,introduced,invasive,,,
196156119,8152187,SE,present,introduced,,,,
196156120,1858100,SE,present,introduced,,,,
196156121,2767275,SE,present,introduced,,,,
196156122,1856130,SE,present,introduced,invasive,,,
196156123,2767271,SE,present,introduced,,,,
196156124,1857143,SE,present,introduced,invasive,,,
196156125,1857577,SE,present,introduced,invasive,,,
196156126,2773055,SE,present,introduced,,,,
196156127,1856133,SE,present,introduced,invasive,,,
196156129,2767506,SE,present,introduced,,,,
196156130,1882965,SE,present,introduced,,,,
196156131,2768885,SE,present,introduced,,,,
196156132,1879452,SE,present,introduced,invasive,,,
196156133,8080743,SE,present,introduced,,,,
196156134,1884441,SE,present,introduced,,,,
8080743,2767334,SE,present,introduced,,,,
196156140,1739438,SE,present,introduced,,,,
2767579,2767580,SE,present,introduced,,,,
196156142,1737808,SE,present,introduced,,,,
196156143,2773281,SE,present,introduced,,,,
196156145,2767428,SE,present,introduced,,,,
196156146,1920496,SE,present,introduced,,,,
196156147,3647711,SE,present,introduced,,,,
196156149,5147150,SE,present,introduced,,,,
196156152,2859255,SE,present,introduced,,,,
196156153,1830209,SE,present,introduced,,,,
196156154,2857697,SE,present,introduced,,,,
196156156,1785185,SE,present,introduced,invasive,,,
196156157,2858244,SE,present,introduced,invasive,,,
196156159,9177060,SE,present,introduced,,,,
196156160,1831168,SE,present,introduced,,,,
196156161,2856504,SE,present,introduced,,,,
196156163,2855398,SE,present,introduced,,,,
196156164,5120767,SE,present,introduced,,,,
196156165,2855338,SE,present,introduced,,,,
196156167,2856920,SE,present,introduced,,,,
196156169,2860425,SE,present,introduced,,,,
196156170,1420089,SE,present,introduced,,,,
196156171,2858581,SE,present,introduced,,,,
196156173,2855860,SE,present,introduced,invasive,,,
196156174,1420973,SE,present,introduced,,,,
196156176,2857017,SE,present,introduced,,,,
196156177,1420961,SE,present,introduced,invasive,,,
196156178,1420846,SE,present,introduced,invasive,,,
196156179,2857616,SE,present,introduced,,,,
196156180,1420769,SE,present,introduced,,,,
196156181,2856261,SE,present,introduced,,,,
196156182,1420954,SE,present,introduced,invasive,,,
196156183,2858581,SE,present,introduced,,,,
196156184,2856920,SE,present,introduced,,,,
196156186,1420612,SE,present,introduced,invasive,,,
2858431,2858564,SE,present,introduced,,,,
196156188,1420829,SE,present,introduced,invasive,,,
