taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
184555,196155703,"Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin & al., 1953",scientificName_replaced_by_backbone_name,3222886,"Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin et al., 1953"
184527,196155706,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1831",scientificName_replaced_by_backbone_name,2402129,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833"
185933,196155731,"Micropterus dolomieu LacÃ©pÃ¨de, 1802",not_matched_with_backbone,,
185934,196155733,"Micropterus salmoides (LacepÃ¨de, 1802)",scientificName_replaced_by_backbone_name,2394563,"Micropterus salmoides (Lacepède, 1802)"
186010,196155769,Odontella sinensis (Grev.) Grunow,merged_with_accepted,3193658,"Biddulphia sinensis Greville, 1866"
184867,196155773,"Bufo viridis Laurenti, 1768",merged_with_accepted,9529916,"Bufotes viridis (Laurenti, 1768)"
186325,196155780,"Rana lessonae Camerano, 1882",merged_with_accepted,2426654,"Pelophylax lessonae (Camerano, 1882)"
185005,196155805,"Chen caerulescens Linnaeus, 1758",merged_with_accepted,2498167,"Anser caerulescens (Linnaeus, 1758)"
186122,196155811,"Peridinium quinquecorne AbÃ©, 1927",not_matched_with_backbone,,
185006,196155812,"Chen rossii (Cassin, 1861)",merged_with_accepted,2498161,"Anser rossii Cassin, 1861"
185177,196155831,"Cygnus olor (Gmelin, 1789)",scientificName_replaced_by_backbone_name,2498343,"Cygnus olor (J.F.Gmelin, 1789)"
186282,196155832,Prorocentrum minimum (Pavillard) J.Schiller,merged_with_accepted,8368630,Prorocentrum cordatum (Ostenf.) J.D.Dodge
186087,196155835,"Oxyura jamaicensis (Gmelin, 1789)",scientificName_replaced_by_backbone_name,2498305,"Oxyura jamaicensis (J.F.Gmelin, 1789)"
184573,196155837,"Aix sponsa Linnaeus, 1758",scientificName_replaced_by_backbone_name,2498387,"Aix sponsa (Linnaeus, 1758)"
184652,196155840,"Anas falcata Georgi, 1775",merged_with_accepted,9480191,"Mareca falcata (Georgi, 1775)"
185361,196155848,"Falco peregrinus, 1771",scientificName_replaced_by_backbone_name,2481047,"Falco peregrinus Tunstall, 1771"
186749,196155851,Tricholoma psammopus (Kalchbr.) QuÃ©l.,not_matched_with_backbone,,
185066,196155855,"Columba livia Gmelin, 1789",scientificName_replaced_by_backbone_name,2495414,"Columba livia J.F.Gmelin, 1789"
185956,196155856,Mutinus ravenelii (Berk. & M.A.Curtis) E.Fisch.,scientificName_replaced_by_backbone_name,5239466,Mutinus ravenelii (Berk.) E.Fisch.
186663,196155862,Suillus cavipes (Opat.) A.H.Sm. & Thiers,scientificName_replaced_by_backbone_name,5239851,Suillus cavipes (Klotzsch) A.H.Sm. & Thiers
186446,196155874,Russula melliolens QuÃ©l.,not_matched_with_backbone,,
186700,196155875,"Tetrao tetrix Linnaeus, 1758",merged_with_accepted,7191070,Lyrurus tetrix tetrix
184994,196155894,"Chalara fraxinea T.Kowalski, 2006",merged_with_accepted,8313437,"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya"
185725,196155898,Lachnellula willkommii (Hartig) Dennis,scientificName_replaced_by_backbone_name,2586748,Lachnellula willkommii (R.Hartig) Dennis
185269,196155956,"Echinococcus multilocularis Leuckart, 1863",scientificName_replaced_by_backbone_name,7725417,"Echinococcus multilocularis (Leuckart, 1863)"
184817,196155973,"Boccardia redeki (Horst, 1920)",merged_with_accepted,2321001,"Boccardiella ligerica (Ferronnière, 1898)"
186260,196155980,"Potamothrix bedoti (Piquet, 1913)",scientificName_replaced_by_backbone_name,2308604,"Potamothrix bedoti (Piguet, 1913)"
186263,196155985,"Potamothrix vejdovskyi (HrabÄ•, 1941)",scientificName_replaced_by_backbone_name,2308605,"Potamothrix vejdovskyi (Hrabĕ, 1941)"
186262,196155987,"Potamothrix moldaviensis (VejdovskÃ½ & MrÃ¡zek, 1903)",scientificName_replaced_by_backbone_name,2308609,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903"
186057,196156005,"Orthodontium lineare Schwaegrichen, 1827",scientificName_replaced_by_backbone_name,2677047,Orthodontium lineare Schwägr.
186242,196156010,"Polytrichum hyperboreum R.Brown, 1823",scientificName_replaced_by_backbone_name,2683078,Polytrichum hyperboreum R.Br.
185456,196156011,"Globodera rostochiensis (Wollenweber, 1923)",scientificName_replaced_by_backbone_name,5188667,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959"
186230,196156012,"Pogonatum dentatum Bridel, 1827",scientificName_replaced_by_backbone_name,2682966,Pogonatum dentatum (Menzies ex Brid.) Brid.
185455,196156014,"Globodera pallida (Stone, 1973)",scientificName_replaced_by_backbone_name,11174915,"Globodera pallida (Stone, 1973) Behrens, 1975"
184903,196156016,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,5281901,Campylopus introflexus (Hedw.) Brid.
184544,196156039,"Aculops lycopersici (Massee, 1937)",scientificName_replaced_by_backbone_name,2128536,"Aculops lycopersici (Tryon, 1917)"
185283,196156040,Elodea callitrichoides Casp.,scientificName_replaced_by_backbone_name,5329198,Elodea callitrichoides (Rich.) Casp.
185285,196156042,Elodea nuttallii St.John,scientificName_replaced_by_backbone_name,5329212,Elodea nuttallii (Planch.) H.St.John
185767,196156046,Lemna japonica E.Landolt,scientificName_replaced_by_backbone_name,2867611,Lemna japonica Landolt
186647,196156052,Spirodela intermedia W.Koch,merged_with_accepted,2871376,Spirodela punctata (G.Mey.) C.H.Thomps.
185769,196156055,Lemna turionifera E.Landolt,scientificName_replaced_by_backbone_name,2867631,Lemna turionifera Landolt
185864,196156065,Lysichiton americanus HultÃ©n & H.St.John,scientificName_replaced_by_backbone_name,2869311,Lysichiton americanus Hultén & H.St.John
185501,196156071,Hemerocallis fulva L.,scientificName_replaced_by_backbone_name,2781074,Hemerocallis fulva (L.) L.
185295,196156082,"Ephestia elutella (Hubner, 1796)",scientificName_replaced_by_backbone_name,1878470,"Ephestia elutella (Hübner, 1796)"
185954,196156083,Muscari neglectum Ten.,scientificName_replaced_by_backbone_name,2772020,Muscari neglectum Guss. ex Ten.
186226,196156086,"Plodia interpunctella (Hubner, 1813)",scientificName_replaced_by_backbone_name,1873079,"Plodia interpunctella (Hübner, 1813)"
186860,196156087,"Vitula edmandsii (Packard, 1865)",scientificName_replaced_by_backbone_name,1875607,"Vitula edmandsii Packard, 1865"
184875,196156091,"Cadra calidella (Guenee, 1845)",scientificName_replaced_by_backbone_name,1873919,"Cadra calidella Guenée, 1845"
185659,196156093,Hyacinthoides hispanica x non-scripta,merged_with_accepted,5304294,Hyacinthoides ×massartiana Geerinck
185291,196156094,"Endrosis sarcitrella (Linnaeus, 1758)",scientificName_replaced_by_backbone_name,1837172,"Endrosis sarcitrella Linnaeus, 1758"
185314,196156095,"Eratophyes amasiella (Herrich-Schaffer, 1854)",merged_with_accepted,1835407,"Schiffermuelleria amasiella (Herrich-Schäffer, 1855)"
186506,196156096,Scilla sardensis (Barr & Sugden) Speta,scientificName_replaced_by_backbone_name,2767229,Scilla sardensis (Whittall ex Barr & Sugden) Speta
185649,196156097,"Hofmannophila pseudospretella (Stainton, 1849)",scientificName_replaced_by_backbone_name,1836899,"Hofmannophila pseudospretella Stainton, 1849"
185874,196156102,Maianthemum stellatum Link,scientificName_replaced_by_backbone_name,2769493,Maianthemum stellatum (L.) Link
184893,196156103,"Cameraria ohridella Deschka & Dimic, 1986",scientificName_replaced_by_backbone_name,1749449,"Cameraria ohridella Deschka & Dimić, 1986"
186065,196156110,Othocallis mischtschenkoana (Grossh.) Speta,merged_with_accepted,2767312,Scilla mischtschenkoana Grossh.
185661,196156113,Hyacinthoides non-scripta (L.) Chouard ex W.Rothmaler,scientificName_replaced_by_backbone_name,5304283,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
186660,196156114,"Stigmella pyri (Glitz, 1865)",scientificName_replaced_by_backbone_name,5102445,"Stigmella pyri (Glitz, 1865) Vári, 1944"
186043,196156126,Ornithogalum boucheanum Asch.,scientificName_replaced_by_backbone_name,2773055,Ornithogalum boucheanum (Kunth) Asch.
185483,196156127,"Haplotinea ditella (Pierce & Metcalfe, 1938)",scientificName_replaced_by_backbone_name,1856133,"Haplotinea ditella (Pierce et al., 1938)"
186066,196156135,Othocallis siberica (Andrews) Speta,merged_with_accepted,8080743,Scilla siberica Andrews
184541,196156137,"Actias selene HÃ¼bner, 1806",not_matched_with_backbone,,
186064,196156141,Othocallis amoena (L.) Salisb.,merged_with_accepted,2767579,Scilla amoena L.
186501,196156147,Scilla allenii (Nicholson) Speta,scientificName_replaced_by_backbone_name,3647711,Scilla ×allenii (G.Nicholson) Speta
185977,196156152,Narcissus incomparabilis Mill.,scientificName_replaced_by_backbone_name,2859255,Narcissus ×incomparabilis Mill.
184718,196156153,"Argyresthia laevigatella Herrich-Schaffer, 1855",scientificName_replaced_by_backbone_name,1830209,"Argyresthia laevigatella Herrich-Schäffer, 1855"
186227,196156160,"Plutella porrectella (Linnaeus, 1758)",scientificName_replaced_by_backbone_name,1831168,"Plutella porrectella Linnaeus, 1758"
185063,196156164,"Coleophora laricella (Hubner, 1817)",scientificName_replaced_by_backbone_name,5120767,"Coleophora laricella (Hübner, 1817)"
184599,196156176,Allium paradoxum G.Don,scientificName_replaced_by_backbone_name,2857017,Allium paradoxum (M.Bieb.) G.Don
184777,196156180,"Aurantothrips orchidaceus (Bagnall, 1990)",scientificName_replaced_by_backbone_name,1420769,"Aurantothrips orchidaceus (Bagnall, 1909)"
185976,196156187,Narcissus asturiensis (Jord.) Pugsley,merged_with_accepted,2858431,Narcissus cuneiflorus (Salisb. ex Haw.) Link
185494,196156190,"Heliothrips haemorrhoidalis (BouchÃ©, 1833)",scientificName_replaced_by_backbone_name,1420795,"Heliothrips haemorrhoidalis (Bouché, 1833)"
185405,196156202,Galanthus valentinei Beck,scientificName_replaced_by_backbone_name,11992781,Galanthus ×valentinei Beck
