taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160911620,5199161,CH,present,introduced,,,,
160911624,3222012,CH,present,introduced,invasive,,,
160911627,2307856,CH,present,introduced,,,,
160911633,2308574,CH,present,introduced,,,,
160911637,3202936,CH,present,introduced,invasive,,,
5892120,2502879,CH,present,introduced,,,,
160911648,2502792,CH,present,introduced,,,,
160911649,5254314,CH,present,introduced,,,,
160911651,5254314,CH,present,introduced,,,,
160911657,2566393,CH,present,introduced,invasive,,,
160911658,2287072,CH,present,introduced,,,,
160911665,5189032,CH,present,introduced,,,,
160911667,8190231,CH,present,introduced,,,,
160911668,2684855,CH,present,introduced,,,,
160911672,2685796,CH,present,introduced,,,,
160911675,5778077,CH,present,introduced,,,,
160911679,5275404,CH,present,introduced,,,,
160911682,5192470,CH,present,introduced,invasive,,,
160911686,2739071,CH,present,introduced,,,,
160911687,2290946,CH,present,introduced,,,,
160911689,2290996,CH,present,introduced,,,,
160911692,5299675,CH,present,introduced,,,,
160911695,4566708,CH,present,introduced,,,,
160911698,2766030,CH,present,introduced,,,,
5189806,5189807,CH,present,introduced,,,,
160911701,5189806,CH,present,introduced,,,,
160911702,2764179,CH,present,introduced,,,,
160911704,4598225,CH,present,introduced,,,,
160911706,2297108,CH,present,introduced,,,,
160911709,5328909,CH,present,introduced,,,,
160911710,2295442,CH,present,introduced,,,,
160911713,2865526,CH,present,introduced,,,,
160911714,4565039,CH,present,introduced,,,,
160911715,5329192,CH,present,introduced,,,,
160911717,2865565,CH,present,introduced,,,,
160911718,5781282,CH,present,introduced,,,,
160911719,2865448,CH,present,introduced,,,,
160911720,5190777,CH,present,introduced,,,,
160911721,5329212,CH,present,introduced,invasive,,,
5329263,5329260,CH,present,introduced,,,,
160911724,5858758,CH,present,introduced,,,,
160911727,2869311,CH,present,introduced,invasive,,,
160911728,4567717,CH,present,introduced,,,,
160911729,2867614,CH,present,introduced,,,,
160911731,2869101,CH,present,introduced,,,,
160911732,5779455,CH,present,introduced,invasive,,,
160911737,2781074,CH,present,introduced,,,,
160911741,5296178,CH,present,introduced,invasive,,,
160911743,9082208,CH,present,introduced,,,,
160911745,5297939,CH,present,introduced,,,,
160911747,5298190,CH,present,introduced,,,,
160911748,2426661,CH,present,introduced,invasive,,,
160911749,5298765,CH,present,introduced,,,,
160911750,2427091,CH,present,introduced,,,,
160911751,5298069,CH,present,introduced,,,,
160911756,2858896,CH,present,introduced,,,,
160911757,2859255,CH,present,introduced,,,,
160911758,6161327,CH,present,introduced,,,,
160911760,9177060,CH,present,introduced,,,,
160911762,2857017,CH,present,introduced,,,,
160911763,6157026,CH,present,introduced,,,,
160911765,8909809,CH,present,introduced,,,,
160911766,8080743,CH,present,introduced,,,,
160911768,2773281,CH,present,introduced,,,,
160911770,5304283,CH,present,introduced,,,,
160911772,2767031,CH,present,introduced,,,,
160911773,2436940,CH,present,introduced,,,,
160911778,5289503,CH,present,introduced,,,,
160911779,5218786,CH,present,introduced,,,,
160911782,2702084,CH,present,introduced,,,,
160911783,2434552,CH,present,introduced,,,,
160911786,2716226,CH,present,introduced,,,,
160911788,2437450,CH,present,introduced,,,,
160911789,2715482,CH,present,introduced,,,,
160911791,2728060,CH,present,introduced,,,,
160911792,2439261,CH,present,introduced,,,,
4129181,5289596,CH,present,introduced,,,,
160911796,5219858,CH,present,introduced,,,,
160911797,5289906,CH,present,introduced,,,,
160911799,2705185,CH,present,introduced,,,,
160911800,4264680,CH,present,introduced,,,,
160911801,2705181,CH,present,introduced,,,,
160911804,5289698,CH,present,introduced,,,,
160911805,2441110,CH,present,introduced,,,,
160911806,5289917,CH,present,introduced,,,,
2705735,2705735,CH,present,introduced,,,,
160911809,2440954,CH,present,introduced,,,,
160911810,5289744,CH,present,introduced,,,,
160911812,2705565,CH,present,introduced,,,,
160911814,2705144,CH,present,introduced,invasive,,,
160911816,2705162,CH,present,introduced,,,,
160911817,2351271,CH,present,introduced,,,,
160911818,2704002,CH,present,introduced,invasive,,,
160911819,2351327,CH,present,introduced,,,,
160911820,8332019,CH,present,introduced,,,,
160911821,5204019,CH,present,introduced,,,,
160911822,2706056,CH,present,introduced,,,,
160911824,2705503,CH,present,introduced,,,,
160911826,2705401,CH,present,introduced,,,,
160911827,2382155,CH,present,introduced,,,,
160911828,2705369,CH,present,introduced,,,,
160911830,2705953,CH,present,introduced,,,,
160911831,2394563,CH,present,introduced,,,,
160911832,6109637,CH,present,introduced,,,,
160911833,2394486,CH,present,introduced,,,,
160911834,2703760,CH,present,introduced,,,,
160911836,2703721,CH,present,introduced,,,,
160911838,2703670,CH,present,introduced,,,,
160911839,2362868,CH,present,introduced,,,,
160911840,2703663,CH,present,introduced,,,,
160911841,2362486,CH,present,introduced,invasive,,,
160911842,2705300,CH,present,introduced,,,,
160911843,2362473,CH,present,introduced,,,,
160911844,2705290,CH,present,introduced,,,,
160911845,2362030,CH,present,introduced,,,,
160911846,2703041,CH,present,introduced,,,,
160911847,2366645,CH,present,introduced,,,,
160911848,5290073,CH,present,introduced,,,,
160911849,2366634,CH,present,introduced,,,,
160911850,4138080,CH,present,introduced,,,,
160911851,4286942,CH,present,introduced,,,,
160911852,5289783,CH,present,introduced,,,,
160911857,2340977,CH,present,introduced,invasive,,,
160911858,2873769,CH,present,introduced,,,,
160911859,2340989,CH,present,introduced,invasive,,,
160911866,9752149,CH,present,introduced,,,,
160911867,5421116,CH,present,introduced,,,,
160911872,3686235,CH,present,introduced,,,,
160911873,2481890,CH,present,introduced,,,,
160911878,9823072,CH,present,introduced,,,,
160911879,2498015,CH,present,introduced,,,,
160911881,2498305,CH,present,introduced,,,,
160911883,2498343,CH,present,introduced,,,,
160911884,5372392,CH,present,introduced,,,,
160911885,5372424,CH,present,introduced,,,,
160911886,2498036,CH,present,introduced,,,,
160911887,3039194,CH,present,introduced,,,,
160911888,2498388,CH,present,introduced,invasive,,,
160911889,3039209,CH,present,introduced,,,,
160911896,3034015,CH,present,introduced,,,,
160911897,2162903,CH,present,introduced,,,,
160911902,5420901,CH,present,introduced,,,,
2138688,4659139,CH,present,introduced,,,,
160911906,8994150,CH,present,introduced,invasive,,,
160911908,3188894,CH,present,introduced,,,,
160911910,3188924,CH,present,introduced,,,,
160911911,2234831,CH,present,introduced,,,,
160911913,5421039,CH,present,introduced,invasive,,,
160911915,9188840,CH,present,introduced,invasive,,,
160911918,2116814,CH,present,introduced,,,,
160911921,2891583,CH,present,introduced,,,,
160911925,2206086,CH,present,introduced,,,,
160911927,2205951,CH,present,introduced,,,,
160911931,5177089,CH,present,introduced,,,,
160911932,5421389,CH,present,introduced,,,,
160911936,3169340,CH,present,introduced,,,,
160911937,2220347,CH,present,introduced,,,,
160911939,2220312,CH,present,introduced,invasive,,,
160911941,2891782,CH,present,introduced,invasive,,,
160911943,2891770,CH,present,introduced,invasive,,,
160911944,2219863,CH,present,introduced,,,,
160911945,2891783,CH,present,introduced,,,,
160911946,4315705,CH,present,introduced,invasive,,,
160911948,4315703,CH,present,introduced,,,,
160911949,2882841,CH,present,introduced,,,,
4417132,4417131,CH,present,introduced,,,,
160911951,5333412,CH,present,introduced,,,,
160911952,4315760,CH,present,introduced,,,,
4315713,2219879,CH,present,introduced,,,,
160911956,3032980,CH,present,introduced,,,,
160911957,4314683,CH,present,introduced,invasive,,,
160911963,2227300,CH,present,introduced,invasive,,,
8909595,2227000,CH,present,introduced,invasive,,,
160911965,3610757,CH,present,introduced,,,,
7523842,3680213,CH,present,introduced,,,,
160911970,4309705,CH,present,introduced,,,,
160911973,2929710,CH,present,introduced,,,,
3797084,5341813,CH,present,introduced,,,,
8946295,4417551,CH,present,introduced,invasive,,,
160911977,2226990,CH,present,introduced,,,,
160911978,5341754,CH,present,introduced,,,,
160911980,2928835,CH,present,introduced,,,,
160911982,2928751,CH,present,introduced,,,,
5020078,9134964,CH,present,introduced,,,,
160911988,2986045,CH,present,introduced,,,,
160911991,2020671,CH,present,introduced,,,,
160911992,3082244,CH,present,introduced,invasive,,,
160911997,1817797,CH,present,introduced,,,,
160911999,3054368,CH,present,introduced,,,,
160912000,1749449,CH,present,introduced,,,,
160912003,2879098,CH,present,introduced,,,,
160912005,2880539,CH,present,introduced,,,,
160912006,1651430,CH,present,introduced,,,,
160912007,5333294,CH,present,introduced,,,,
160912010,2888625,CH,present,introduced,,,,
160912012,2888773,CH,present,introduced,,,,
160912013,2888806,CH,present,introduced,,,,
160912015,5334240,CH,present,introduced,invasive,,,
160912016,5598598,CH,present,introduced,invasive,,,
160912017,5598915,CH,present,introduced,,,,
7764700,5599249,CH,present,introduced,,,,
160912019,5334242,CH,present,introduced,,,,
160912020,2888814,CH,present,introduced,,,,
160912021,2888740,CH,present,introduced,,,,
160912024,2928226,CH,present,introduced,,,,
7294645,4060663,CH,present,introduced,,,,
