taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160911620,5199161,95958,"Hypania invalida (Grube, 1860)",Animalia,SPECIES
160911624,3222012,95912,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920",Bacteria,SPECIES
160911627,2307856,95834,"Caspiobdella fadejewi (Epshtein, 1961)",Animalia,SPECIES
160911633,2308574,95812,"Branchiura sowerbyi Beddard, 1892",Animalia,SPECIES
160911637,3202936,95780,Aphanomyces astaci Schikora,Chromista,SPECIES
5892120,2502879,95890,"Girardia tigrina (Girard, 1850)",Animalia,SPECIES
160911648,2502792,95791,"Arthurdendyus triangulatus (Dendy, 1895)",Animalia,SPECIES
160911649,5254314,96052,Ophiostoma ulmi (Buisman) Nannf.,Fungi,SPECIES
160911651,5254314,96051,Ophiostoma ulmi (Buisman) Nannf.,Fungi,SPECIES
160911657,2566393,95866,Cryphonectria parasitica (Murrill) M.E.Barr,Fungi,SPECIES
160911658,2287072,95888,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
160911665,5189032,95851,"Corbicula fluminalis (O.F.Müller, 1774)",Animalia,SPECIES
160911667,8190231,95852,"Corbicula fluminea (O.F.Müller, 1774)",Animalia,SPECIES
160911668,2684855,96093,Platycladus orientalis (L.) Franco,Plantae,SPECIES
160911672,2685796,96110,Pseudotsuga menziesii (Mirb.) Franco,Plantae,SPECIES
160911675,5778077,96236,"Viviparus ater (De Cristofori & Jan, 1832)",Animalia,SPECIES
160911679,5275404,96111,Pteris cretica L.,Plantae,SPECIES
160911682,5192470,96096,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
160911686,2739071,96205,Trachycarpus fortunei (Hook.) H.Wendl.,Plantae,SPECIES
160911687,2290946,96091,"Planorbarius corneus (Linnaeus, 1758)",Animalia,SPECIES
160911689,2290996,95945,"Gyraulus parvus (Say, 1817)",Animalia,SPECIES
160911692,5299675,96214,Tulipa gesneriana L.,Plantae,SPECIES
160911695,4566708,96174,"Solatopupa similis (Bruguière, 1792)",Animalia,SPECIES
160911698,2766030,96095,Pontederia cordata L.,Plantae,SPECIES
5189806,5189807,96084,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
160911701,5189806,96083,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
160911702,2764179,95849,Commelina communis L.,Plantae,SPECIES
160911704,4598225,96194,"Tandonia budapestensis (Hazay, 1880)",Animalia,SPECIES
160911706,2297108,96029,"Milax gagates (Draparnaud, 1801)",Animalia,SPECIES
160911709,5328909,96139,Sagittaria latifolia Willd.,Plantae,SPECIES
160911710,2295442,95994,"Limacus flavus (Linnaeus, 1758)",Animalia,SPECIES
160911713,2865526,96220,Vallisneria spiralis L.,Plantae,SPECIES
160911714,4565039,95957,"Hygromia cinctella (Draparnaud, 1801)",Animalia,SPECIES
160911715,5329192,96183,Stratiotes aloides L.,Plantae,SPECIES
160911717,2865565,95980,Lagarosiphon major (Ridl.) Moss,Plantae,SPECIES
160911718,5781282,95880,"Deroceras sturanyi (Simroth, 1894)",Animalia,SPECIES
160911719,2865448,95897,Elodea canadensis Michx.,Plantae,SPECIES
160911720,5190777,95879,"Deroceras panormitanum (Lessona & Pollonera, 1882)",Animalia,SPECIES
160911721,5329212,95898,Elodea nuttallii (Planch.) H.St.John,Plantae,SPECIES
5329263,5329260,95895,Elodea densa (Planch.) Casp.,Plantae,SPECIES
160911724,5858758,95855,"Cornu aspersum (O.F.Müller, 1774)",Animalia,SPECIES
160911727,2869311,96016,Lysichiton americanus Hultén & H.St.John,Plantae,SPECIES
160911728,4567717,95810,"Boettgerilla pallens Simroth, 1912",Animalia,SPECIES
160911729,2867614,95985,Lemna minuta Kunth,Plantae,SPECIES
160911731,2869101,95826,Calla palustris L.,Plantae,SPECIES
160911732,5779455,95784,"Arion lusitanicus Mabille, 1868",Animalia,SPECIES
160911737,2781074,95950,Hemerocallis fulva (L.) L.,Plantae,SPECIES
160911741,5296178,96172,Sisyrinchium montanum Greene,Plantae,SPECIES
160911743,9082208,95973,Iris variegata L.,Plantae,SPECIES
160911745,5297939,95971,Iris japonica Thunb.,Plantae,SPECIES
160911747,5298190,95972,Iris lutescens Lam.,Plantae,SPECIES
160911748,2426661,96072,"Pelophylax ridibundus (Pallas, 1771)",Animalia,SPECIES
160911749,5298765,95969,Iris foetidissima L.,Plantae,SPECIES
160911750,2427091,96003,"Lithobates catesbeianus (Shaw, 1802)",Animalia,SPECIES
160911751,5298069,95970,Iris ×germanica L.,Plantae,SPECIES
160911756,2858896,96035,Narcissus ×medioluteus Mill.,Plantae,SPECIES
160911757,2859255,96034,Narcissus ×incomparabilis Mill.,Plantae,SPECIES
160911758,6161327,96036,"Natrix tessellata (Laurenti, 1768)",Animalia,SPECIES
160911760,9177060,95762,Allium scorodoprasum L.,Plantae,SPECIES
160911762,2857017,95761,Allium paradoxum (M.Bieb.) G.Don,Plantae,SPECIES
160911763,6157026,96204,"Trachemys scripta elegans (Wied, 1838)",Animalia,SUBSPECIES
160911765,8909809,95899,"Emys orbicularis (Linnaeus, 1758)",Animalia,SPECIES
160911766,8080743,96156,Scilla siberica Andrews,Plantae,SPECIES
160911768,2773281,96057,Ornithogalum nutans L.,Plantae,SPECIES
160911770,5304283,95956,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Plantae,SPECIES
160911772,2767031,95757,Agave americana L.,Plantae,SPECIES
160911773,2436940,96058,"Oryctolagus cuniculus (Linnaeus, 1758)",Animalia,SPECIES
160911778,5289503,96215,Typha laxmannii Lepech.,Plantae,SPECIES
160911779,5218786,96102,"Procyon lotor (Linnaeus, 1758)",Animalia,SPECIES
160911782,2702084,95978,Juncus tenuis Willd.,Plantae,SPECIES
160911783,2434552,96042,"Nyctereutes procyonoides (Gray, 1834)",Animalia,SPECIES
160911786,2716226,95875,Cyperus esculentus L.,Plantae,SPECIES
160911788,2437450,96192,"Tamias sibiricus (Laxmann, 1769)",Animalia,SPECIES
160911789,2715482,95874,Cyperus eragrostis Lam.,Plantae,SPECIES
160911791,2728060,95833,Carex vulpinoidea Michx.,Plantae,SPECIES
160911792,2439261,96119,"Rattus norvegicus (Berkenhout, 1769)",Animalia,SPECIES
4129181,5289596,96237,Festuca ambigua Le Gall,Plantae,SPECIES
160911796,5219858,96050,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
160911797,5289906,96129,Rostraria cristata (L.) Tzvelev,Plantae,SPECIES
160911799,2705185,96178,Sorghum halepense (L.) Pers.,Plantae,SPECIES
160911800,4264680,96033,"Myocastor coypus (Molina, 1782)",Animalia,SPECIES
160911801,2705181,96177,Sorghum bicolor (L.) Moench,Plantae,SPECIES
160911804,5289698,96165,Setaria italica (L.) P.Beauv.,Plantae,SPECIES
160911805,2441110,96059,"Ovis aries Linnaeus, 1758",Animalia,SPECIES
160911806,5289917,96094,Polypogon monspeliensis (L.) Desf.,Plantae,SPECIES
2705735,2705735,96053,Oplismenus undulatifolius (Ard.) Roem. & Schult.,Plantae,SPECIES
160911809,2440954,95845,"Cervus nippon Temminck, 1838",Animalia,SPECIES
160911810,5289744,96077,Phalaris canariensis L.,Plantae,SPECIES
160911812,2705565,96070,Paspalum dilatatum Poir.,Plantae,SPECIES
160911814,2705144,96064,Panicum dichotomiflorum Michx.,Plantae,SPECIES
160911816,2705162,96063,Panicum capillare L.,Plantae,SPECIES
160911817,2351271,96140,"Salvelinus fontinalis (Mitchill, 1814)",Animalia,SPECIES
160911818,2704002,96032,Muhlenbergia schreberi J.F.Gmel.,Plantae,SPECIES
160911819,2351327,96141,"Salvelinus namaycush (Walbaum, 1792)",Animalia,SPECIES
160911820,8332019,95954,Hordeum distichon L.,Plantae,SPECIES
160911821,5204019,96049,"Oncorhynchus mykiss (Walbaum, 1792)",Animalia,SPECIES
160911822,2706056,95955,Hordeum vulgare L.,Plantae,SPECIES
160911824,2705503,95943,Glyceria striata (Lam.) Hitchc.,Plantae,SPECIES
160911826,2705401,95904,Eragrostis multicaulis Steud.,Plantae,SPECIES
160911827,2382155,96146,"Sander lucioperca (Linnaeus, 1758)",Animalia,SPECIES
160911828,2705369,95903,Eragrostis cilianensis (All.) Vignolo ex Janch.,Plantae,SPECIES
160911830,2705953,95896,Eleusine indica (L.) Gaertn.,Plantae,SPECIES
160911831,2394563,96028,"Micropterus salmoides (Lacepède, 1802)",Animalia,SPECIES
160911832,6109637,95873,Cynodon dactylon (L.) Pers.,Plantae,SPECIES
160911833,2394486,95991,"Lepomis gibbosus (Linnaeus, 1758)",Animalia,SPECIES
160911834,2703760,95818,Bromus diandrus Roth,Plantae,SPECIES
160911836,2703721,95820,Bromus madritensis L.,Plantae,SPECIES
160911838,2703670,95819,Bromus inermis Leyss.,Plantae,SPECIES
160911839,2362868,96109,"Pseudorasbora parva (Temminck & Schlegel, 1846)",Animalia,SPECIES
160911840,2703663,95821,Bromus rigidus Roth,Plantae,SPECIES
