taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160903920,2306992,TR,present,introduced,,,,
160903929,2319527,TR,present,introduced,,,,
160903930,8082735,TR,present,introduced,,,,
8216761,8216761,TR,present,introduced,,,,
160903936,2321339,TR,present,introduced,invasive,,,
160903938,7190107,TR,present,introduced,,,,
160903940,5197747,TR,present,introduced,invasive,,,
160903941,7380778,TR,present,introduced,,,,
160903942,2320707,TR,present,introduced,invasive,,,
160903944,2320641,TR,present,introduced,,,,
160903946,2320659,TR,present,introduced,,,,
160903948,2320696,TR,present,introduced,,,,
160903950,2321218,TR,present,introduced,,,,
160903952,2320664,TR,present,introduced,invasive,,,
160903953,2320993,TR,present,introduced,invasive,,,
160903957,2320761,TR,present,introduced,,,,
160903960,7528201,TR,present,introduced,,,,
160903963,2317532,TR,present,introduced,,,,
160903964,7724268,TR,present,introduced,,,,
160903965,2317572,TR,present,introduced,,,,
7724268,7773962,TR,present,introduced,,,,
160903968,7566891,TR,present,introduced,,,,
160903971,6154005,TR,present,introduced,,,,
160903975,8294562,TR,present,introduced,,,,
160903976,2322852,TR,present,introduced,,,,
160903977,8372190,TR,present,introduced,,,,
160903978,2322929,TR,present,introduced,,,,
160903983,7732079,TR,present,introduced,,,,
10043305,2322213,TR,present,introduced,,,,
160903986,8082159,TR,present,introduced,,,,
160903988,5198157,TR,present,introduced,,,,
160903989,7989790,TR,present,introduced,,,,
160903990,5198234,TR,present,introduced,invasive,,,
7793616,8312940,TR,present,introduced,,,,
5198234,5198233,TR,present,introduced,,,,
12201174,8233251,TR,present,introduced,invasive,,,
160903995,8375830,TR,present,introduced,,,,
160903996,5198034,TR,present,introduced,invasive,,,
160903999,7869399,TR,present,introduced,,,,
160904001,7630125,TR,present,introduced,,,,
160904002,2316765,TR,present,introduced,,,,
160904003,5899940,TR,present,introduced,,,,
160904004,2316677,TR,present,introduced,,,,
160904005,7441080,TR,present,introduced,,,,
160904006,2316670,TR,present,introduced,,,,
160904010,2309037,TR,present,introduced,,,,
8032382,8222689,TR,present,introduced,,,,
160904013,5194994,TR,present,introduced,invasive,,,
160904014,7794651,TR,present,introduced,,,,
160904016,7635722,TR,present,introduced,,,,
160904017,7863555,TR,present,introduced,,,,
160904018,2311570,TR,present,introduced,,,,
160904019,8035002,TR,present,introduced,,,,
160904021,7416940,TR,present,introduced,,,,
160904022,2316942,TR,present,introduced,,,,
160904023,7445427,TR,present,introduced,,,,
160904025,7998132,TR,present,introduced,,,,
160904027,9530572,TR,present,introduced,,,,
160904028,2314184,TR,present,introduced,,,,
160904029,7399878,TR,present,introduced,,,,
7399878,7367485,TR,present,introduced,,,,
160904033,7463403,TR,present,introduced,,,,
160904034,2316511,TR,present,introduced,,,,
160904035,7579869,TR,present,introduced,,,,
10814569,8282037,TR,present,introduced,,,,
160904038,5194683,TR,present,introduced,,,,
160904041,2310982,TR,present,introduced,,,,
160904043,2310374,TR,present,introduced,,,,
160904044,7438866,TR,present,introduced,,,,
160904045,5194517,TR,present,introduced,,,,
160904047,5815526,TR,present,introduced,,,,
160904048,8411851,TR,present,introduced,,,,
160904051,2315466,TR,present,introduced,invasive,,,
160904052,7930726,TR,present,introduced,,,,
160904053,5196151,TR,present,introduced,,,,
160904055,5196384,TR,present,introduced,,,,
160904056,7705954,TR,present,introduced,,,,
160904057,2316240,TR,present,introduced,invasive,,,
160904058,7701320,TR,present,introduced,,,,
160904059,2316227,TR,present,introduced,invasive,,,
160904061,2316238,TR,present,introduced,,,,
160904062,2315832,TR,present,introduced,invasive,,,
160904063,8052076,TR,present,introduced,,,,
160904064,7643649,TR,present,introduced,,,,
160904069,7821815,TR,present,introduced,,,,
7189658,5199038,TR,present,introduced,,,,
160904071,7371308,TR,present,introduced,,,,
