taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
94253,160903921,"Pseudo-nitzschia calliantha Lundholm, Moestrup & Hasle, 2003",filtered_on_establishmentMeans,8318878,"Pseudo-nitzschia calliantha Lundholm, Moestrup & Hasle, 2003"
93881,160903951,"Eutintinnus lusus-undae (Entz, 1885)",not_matched_with_backbone,,
94154,160903955,"Paraprionospio coora Wilson, 1990",filtered_on_establishmentMeans,2321419,"Paraprionospio coora Wilson, 1990"
93618,160903966,"Astacolus sublegumen (Parr, 1950)",merged_with_accepted,7724268,"Vaginulinopsis sublegumen Parr, 1950"
94275,160903983,"Quinqueloculina milletti (Wiesner, 1923)",scientificName_replaced_by_backbone_name,7732079,"Quinqueloculina milletti (Wiesner, 1912)"
94049,160903984,"Marphysa disjuncta Hartman, 1961",merged_with_accepted,10043305,"Paucibranchia disjuncta (Hartman, 1961)"
94040,160903988,"Lysidice collaris Grube, 1870",scientificName_replaced_by_backbone_name,5198157,"Lysidice collaris Grube, 1868"
93772,160903991,"Coscinospira arietina (Batsch, 1791)",merged_with_accepted,7793616,"Peneroplis arietinus (Batsch, 1791)"
93865,160903992,"Eunice antennata (Savigny, 1818)",merged_with_accepted,5198234,"Leodice antennata Savigny, 1818"
94079,160903993,"Monalysidium acicularis (Batsch, 1791)",merged_with_accepted,12201174,"Monalysidium aciculare (Batsch, 1791)"
94359,160903999,"Sorites variabilis Lacroix, 1941",scientificName_replaced_by_backbone_name,7869399,"Sorites variabilis Lacroix, 1940"
94358,160904001,"Sorites orbiculus (ForsskÃ¥l, 1775)",scientificName_replaced_by_backbone_name,7630125,"Sorites orbiculus (Forsskål, 1775)"
94433,160904012,"Triloculina asymmetrica Said, 1949",merged_with_accepted,8032382,"Triloculinella asymmetrica (Said, 1949)"
94212,160904018,"Pisione guanche San MartÃ­n, LÃ³pez & NÃºÃ±ez, 1999",scientificName_replaced_by_backbone_name,2311570,"Pisione guanche San Martín, López & Núñez, 1999"
94104,160904022,"Nephtys ciliata (MÃ¼ller, 1788)",scientificName_replaced_by_backbone_name,2316942,"Nephtys ciliata (Müller, 1788)"
94009,160904030,"Lepidonotus carinulatus (Grube, 1870)",filtered_on_establishmentMeans,2314157,"Lepidonotus carinulatus (Grube, 1869)"
94434,160904031,"Triloculina fichteliana d'Orbigny, 1839",merged_with_accepted,7399878,"Miliolinella fichteliana (d'Orbigny, 1839)"
93538,160904037,"Agglutinella arenata (Said, 1949)",merged_with_accepted,10814569,"Siphonaperta arenata (Said, 1949)"
