taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160903920,2306992,93887,"Ferosagitta galerita (Dallot, 1971)",Animalia,SPECIES
160903929,2319527,94064,"Metasychis gotoi (Izuka, 1902)",Animalia,SPECIES
160903930,8082735,94320,"Scrippsiella trochoidea (Stein) Loeblich Iii, 1976",Chromista,SPECIES
8216761,8216761,94140,Oxyphysis oxytoxoides Kof.,Chromista,SPECIES
160903936,2321339,94387,"Streblospio gynobranchiata Rice & Levin, 1998",Animalia,SPECIES
160903938,7190107,94367,"Spiophanes algidus Meissner, 2005",Animalia,SPECIES
160903940,5197747,94226,"Polydora cornuta Bosc, 1802",Animalia,SPECIES
160903941,7380778,93930,"Gymnodinium uberrimum (Allman) Kofoid & Swezy, 1921",Chromista,SPECIES
160903942,2320707,94241,"Prionospio krusadensis Fauvel, 1929",Animalia,SPECIES
160903944,2320641,94240,"Prionospio depauperata Imajima, 1990",Animalia,SPECIES
160903946,2320659,94243,"Prionospio pulchra Imajima, 1990",Animalia,SPECIES
160903948,2320696,94242,"Prionospio paucipinnulata Blake & Kudenov, 1978",Animalia,SPECIES
160903950,2321218,94245,"Prionospio sexoculata Augener, 1918",Animalia,SPECIES
160903952,2320664,94244,"Prionospio saccifera Mackie & Hartley, 1990",Animalia,SPECIES
160903953,2320993,94254,"Pseudopolydora paucibranchiata (Okuda, 1937)",Animalia,SPECIES
160903957,2320761,93998,"Laonice norgensis Sikorski, 2003",Animalia,SPECIES
160903960,7528201,94271,"Pyramidulina catesbyi (d'Orbigny, 1839)",Chromista,SPECIES
160903963,2317532,94022,"Linopherus canariensis Langerhans, 1881",Animalia,SPECIES
160903964,7724268,94449,"Vaginulinopsis sublegumen Parr, 1950",Chromista,SPECIES
160903965,2317572,93878,"Eurythoe complanata (Pallas, 1766)",Animalia,SPECIES
7724268,7773962,93618,"Vaginulinopsis sublegumen Parr, 1950",Chromista,SPECIES
160903968,7566891,93617,"Astacolus insolitus (Schwager, 1866)",Chromista,SPECIES
160903971,6154005,94124,"Onuphis eremita oculata Hartman, 1951",Animalia,SUBSPECIES
160903975,8294562,94372,"Spiroloculina antillarum d'Orbigny, 1839",Chromista,SPECIES
160903976,2322852,94317,"Scoletoma debilis (Grube, 1878)",Animalia,SPECIES
160903977,8372190,94371,"Spiroloculina angulata Cushman, 1917",Chromista,SPECIES
160903978,2322929,94035,"Lumbrineris perkinsi Carrera-Parra, 2001",Animalia,SPECIES
160903983,7732079,94275,"Quinqueloculina milletti (Wiesner, 1912)",Chromista,SPECIES
10043305,2322213,94049,"Paucibranchia disjuncta (Hartman, 1961)",Animalia,SPECIES
160903986,8082159,94145,"Palola valida (Gravier, 1900)",Animalia,SPECIES
160903988,5198157,94040,"Lysidice collaris Grube, 1868",Animalia,SPECIES
160903989,7989790,94173,"Peneroplis pertusus var. arietina (Batsch, 1791)",Chromista,VARIETY
160903990,5198234,94004,"Leodice antennata Savigny, 1818",Animalia,SPECIES
7793616,8312940,93772,"Peneroplis arietinus (Batsch, 1791)",Chromista,SPECIES
5198234,5198233,93865,"Leodice antennata Savigny, 1818",Animalia,SPECIES
12201174,8233251,94079,"Monalysidium aciculare (Batsch, 1791)",Chromista,SPECIES
160903995,8375830,93880,"Euthymonacha polita (Chapman, 1900)",Chromista,SPECIES
160903996,5198034,93822,"Dorvillea similis (Crossland, 1924)",Animalia,SPECIES
160903999,7869399,94359,"Sorites variabilis Lacroix, 1940",Chromista,SPECIES
160904001,7630125,94358,"Sorites orbiculus (Forsskål, 1775)",Chromista,SPECIES
160904002,2316765,94398,"Synelmis rigida (Fauvel, 1919)",Animalia,SPECIES
160904003,5899940,93789,"Cyclorbiculina compressa (d'Orbigny, 1839)",Chromista,SPECIES
160904004,2316677,94334,"Sigambra constricta (Southern, 1921)",Animalia,SPECIES
160904005,7441080,93577,"Amphisorus hemprichii Ehrenberg, 1839",Chromista,SPECIES
160904006,2316670,94335,"Sigambra parva (Day, 1963)",Animalia,SPECIES
160904010,2309037,94224,"Podarkeopsis capensis (Day, 1963)",Animalia,SPECIES
8032382,8222689,94433,"Triloculinella asymmetrica (Said, 1949)",Chromista,SPECIES
160904013,5194994,94193,"Phyllodoce longifrons Ben-Eliahu, 1972",Animalia,SPECIES
160904014,7794651,94316,"Schlumbergerina alveoliniformis (Brady, 1879)",Chromista,SPECIES
160904016,7635722,94325,"Septloculina rotunda El Nakhal, 1990",Chromista,SPECIES
160904017,7863555,94326,"Septloculina tortuosa El Nakhal, 1990",Chromista,SPECIES
160904018,2311570,94212,"Pisione guanche San Martín, López & Núñez, 1999",Animalia,SPECIES
160904019,8035002,94338,"Sigmoihauerina bradyi (Cushman, 1917)",Chromista,SPECIES
160904021,7416940,94272,"Pyrgo denticulata (Brady, 1884)",Chromista,SPECIES
160904022,2316942,94104,"Nephtys ciliata (Müller, 1788)",Animalia,SPECIES
160904023,7445427,94276,"Quinqueloculina mosharrafai Said, 1949",Chromista,SPECIES
160904025,7998132,94250,"Pseudomassilina reticulata (Heron-Allen & Earland, 1915)",Chromista,SPECIES
160904027,9530572,94070,"Miliolinella hybrida (Terquem, 1878)",Chromista,SPECIES
160904028,2314184,94010,"Lepidonotus tenuisetosus (Gravier, 1902)",Animalia,SPECIES
160904029,7399878,94069,"Miliolinella fichteliana (d'Orbigny, 1839)",Chromista,SPECIES
7399878,7367485,94434,"Miliolinella fichteliana (d'Orbigny, 1839)",Chromista,SPECIES
160904033,7463403,93611,"Articulina mayori Cushman, 1922",Chromista,SPECIES
160904034,2316511,93920,"Glycinde bonhourei Gravier, 1904",Animalia,SPECIES
160904035,7579869,93610,"Articulina alticostata Cushman, 1944",Chromista,SPECIES
10814569,8282037,93538,"Siphonaperta arenata (Said, 1949)",Chromista,SPECIES
160904038,5194683,94394,"Syllis pectinans Haswell, 1920",Animalia,SPECIES
160904041,2310982,94248,"Prosphaerosyllis longipapillata (Hartmann-Schröder, 1979)",Animalia,SPECIES
160904043,2310374,93879,"Eusyllis kupfferi Langerhans, 1879",Animalia,SPECIES
160904044,7438866,94268,"Pulleniatina obliquiloculata (Parker & Jones, 1865)",Chromista,SPECIES
160904045,5194517,93883,"Exogone breviantennata Hartmann-Schröder, 1959",Animalia,SPECIES
160904047,5815526,93882,"Exogone africana Hartmann-Schröder, 1974",Animalia,SPECIES
160904048,8411851,94155,"Pararotalia calcariformata McCulloch, 1977",Chromista,SPECIES
160904051,2315466,94252,"Pseudonereis anomala Gravier, 1899",Animalia,SPECIES
160904052,7930726,93946,"Heterostegina depressa d'Orbigny, 1826",Chromista,SPECIES
160904053,5196151,94105,"Nereis jacksoni Kinberg, 1865",Animalia,SPECIES
160904055,5196384,94106,"Nereis persica Fauvel, 1911",Animalia,SPECIES
160904056,7705954,93843,"Elphidium striatopunctatum (Fichtel & Moll, 1798)",Chromista,SPECIES
160904057,2316240,94007,"Leonnates persicus Wesenberg-Lund, 1949",Animalia,SPECIES
160904058,7701320,93842,"Elphidium charlottense (Vella, 1957)",Chromista,SPECIES
160904059,2316227,94006,"Leonnates indicus Kinberg, 1865",Animalia,SPECIES
160904061,2316238,94005,"Leonnates decipiens Fauvel, 1929",Animalia,SPECIES
160904062,2315832,93706,"Ceratonereis mirabilis Kinberg, 1865",Animalia,SPECIES
160904063,8052076,93795,"Cymbaloporetta plana (Cushman, 1924)",Chromista,SPECIES
160904064,7643649,93796,"Cymbaloporetta squammosa (d'Orbigny, 1839)",Chromista,SPECIES
160904069,7821815,94219,"Planogypsina squamiformis (Chapman, 1901)",Chromista,SPECIES
7189658,5199038,94184,"Daylithos parmatus (Grube, 1877)",Animalia,SPECIES
160904071,7371308,94218,"Planogypsina acervalis (Brady, 1884)",Chromista,SPECIES
160904072,6785145,94390,"Stylarioides grubei Salazar-Vallejo, 2011",Animalia,SPECIES
160904073,8102774,93516,"Acervulina inhaerens Schultze, 1854",Chromista,SPECIES
160904074,9465468,94321,"Semiodera cinari Salazar-Vallejo, 2012",Animalia,SPECIES
160904075,5199074,94185,"Pherusa saldanha Day, 1961",Animalia,SPECIES
2325283,8423010,94386,"Thelepus comatus (Grube, 1859)",Animalia,SPECIES
160904082,2324677,94225,"Polycirrus twisti Potts, 1928",Animalia,SPECIES
160904084,2324609,94214,"Pista unibranchia Day, 1963",Animalia,SPECIES
160904090,2324091,94423,"Timarete dasylophius (Marenzeller, 1879)",Animalia,SPECIES
160904091,8070994,94422,"Timarete caribous (Grube, 1859)",Animalia,SPECIES
160904092,5272747,93743,Cladophora flexuosa (O.F.Müller) Kützing,Plantae,SPECIES
160904093,2324085,94421,"Timarete anchylochaeta (Schmarda, 1861)",Animalia,SPECIES
160904095,7737338,94424,"Timarete punctata (Grube, 1859)",Animalia,SPECIES
7230558,5272099,93752,Codium fragile subsp. fragile,Plantae,SUBSPECIES
160904101,2318080,94109,"Notomastus aberans Day, 1957",Animalia,SPECIES
160904102,5272185,93753,Codium taylorii P.C.Silva,Plantae,SPECIES
160904103,7930958,94110,"Notomastus mossambicus (Thomassin, 1970)",Animalia,SPECIES
160904104,2318164,94101,"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979",Animalia,SPECIES
160904105,7230558,93751,Codium fragile subsp. fragile,Plantae,SUBSPECIES
160904108,2318168,93675,"Capitellethus dispar (Ehlers, 1907)",Animalia,SPECIES
2643103,7659609,93695,Caulerpa racemosa var. lamourouxii (Turner) Weber Bosse,Plantae,VARIETY
2643103,7659609,93694,Caulerpa racemosa var. lamourouxii (Turner) Weber Bosse,Plantae,VARIETY
160904114,5199417,94373,"Spirorbis marioni Caullery & Mesnil, 1897",Animalia,SPECIES
160904115,5199674,94370,"Spirobranchus tetraceros (Schmarda, 1861)",Animalia,SPECIES
10209692,10209692,93697,Caulerpa scalpelliformis (R.Brown ex Turner) C.Agardh,Chromista,SPECIES
160904117,5959034,94369,"Spirobranchus kraussii (Baird, 1864)",Animalia,SPECIES
160904119,4811221,94100,"Neodexiospira steueri (Sterzinger, 1909)",Animalia,SPECIES
160904120,2643172,93698,Caulerpa taxifolia (M.Vahl) C.Agardh,Plantae,SPECIES
4811221,4289337,93980,"Neodexiospira steueri (Sterzinger, 1909)",Animalia,SPECIES
160904122,2643131,93693,"Caulerpa cylindracea Sonder, 1845",Plantae,SPECIES
160904124,2643131,93692,"Caulerpa cylindracea Sonder, 1845",Plantae,SPECIES
160904125,2328293,93955,"Hydroides dianthus (Verrill, 1873)",Animalia,SPECIES
160904127,2328320,93954,"Hydroides brachyacantha Rioja, 1941",Animalia,SPECIES
160904128,2328346,93960,"Hydroides minax (Grube, 1878)",Animalia,SPECIES
160904130,2328291,93959,"Hydroides homoceros Pixell, 1913",Animalia,SPECIES
160904132,8400812,93958,"Hydroides heterocera (Grube, 1868)",Animalia,SPECIES
160904134,2328302,93957,"Hydroides elegans (Haswell, 1883)",Animalia,SPECIES
160904135,8303052,93961,"Hydroides operculata (Treadwell, 1929)",Animalia,SPECIES
160904136,5275822,94391,"Stylonema cornu-cervi Reinsch, 1875",Plantae,SPECIES
160904137,2327735,93888,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,SPECIES
160904141,2329013,93999,"Laonome triangularis Hutchings & Murray, 1984",Animalia,SPECIES
160904143,5200151,93813,"Desdemona ornata Banse, 1957",Animalia,SPECIES
160904144,5275660,94235,"Porphyra minor Zanardini, 1847",Plantae,SPECIES
160904145,5200315,93651,"Branchiomma luctuosum (Grube, 1870)",Animalia,SPECIES
160904147,5854272,93650,"Branchiomma bairdi (McIntosh, 1885)",Animalia,SPECIES
160904155,2668465,94281,"Rhodophysema georgei Batters, 1900",Plantae,SPECIES
160904156,1005022,94285,"Rhynchozoon larreyi (Audouin, 1826)",Animalia,SPECIES
160904160,1004642,93702,"Celleporaria brunnea (Hincks, 1884)",Animalia,SPECIES
160904161,2667824,94181,"Peyssonnelia rosa-marina Boudouresque & Denizot, 1973",Plantae,SPECIES
8428595,4984823,93656,"Bugulina stolonifera (Ryland, 1960)",Animalia,SPECIES
160904167,2665883,93912,"Gelidiocolax christianae Feldmann & G.Feldmann, 1963",Plantae,SPECIES
160904171,5278942,93925,Gracilaria armata (C.Agardh) Greville,Plantae,SPECIES
160904174,5278866,93924,Gracilaria arcuata Zanardini,Plantae,SPECIES
160904175,5233152,93636,"Beroe ovata Bruguière, 1789",Animalia,SPECIES
160904177,2501114,93635,"Beroe cucumis Fabricius, 1780",Animalia,SPECIES
160904180,2662936,94265,"Pterocladiella melanoidea (Schousb. ex Bornet) Santel. & Hommers., 1997",Plantae,SPECIES
160904185,2501248,94077,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
2662738,2662882,93913,Gelidium spinosum (S.G.Gmelin) P.C.Silva,Plantae,SPECIES
