taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148702483,2284485,GB,present,introduced,,,,
148702484,5422556,GB,present,introduced,yes,,,
148702488,3197314,GB,present,introduced,yes,,,
148702492,2501248,GB,present,introduced,,,,
148702498,4283395,GB,present,introduced,,,,
148702501,8018048,GB,present,introduced,,,,
148702505,3197970,GB,present,introduced,,,,
148702513,2266754,GB,present,introduced,,,,
148702514,9355965,GB,present,introduced,,,,
148702519,2265249,GB,present,introduced,,,,
148702522,8041570,GB,present,introduced,,,,
148702524,2266009,GB,present,introduced,yes,,,
3193658,5421668,GB,present,introduced,,,,
148702528,5185676,GB,present,introduced,,,,
148702535,2251202,GB,present,introduced,,,,
148702537,5421557,GB,present,introduced,,,,
148702539,2246541,GB,present,introduced,,,,
148702548,4985433,GB,present,introduced,,,,
148702549,8050384,GB,present,introduced,,,,
148702556,7974238,GB,present,introduced,,,,
148702557,4985072,GB,present,introduced,yes,,,
148702562,8155634,GB,present,introduced,yes,,,
148702565,8155634,GB,present,introduced,,,,
148702567,7699567,GB,present,introduced,,,,
148702568,1010024,GB,present,introduced,yes,,,
148702571,8428595,GB,present,introduced,,,,
148702573,4984851,GB,present,introduced,,,,
148702575,7668385,GB,present,introduced,,,,
148702582,2527401,GB,present,introduced,,,,
148702588,2304415,GB,present,introduced,yes,,,
148702590,4363499,GB,present,introduced,,,,
148702592,6096602,GB,present,introduced,,,,
148702593,4363583,GB,present,introduced,,,,
148702600,8207003,GB,present,introduced,,,,
9520065,8075198,GB,present,introduced,,,,
148702602,7926430,GB,present,introduced,,,,
148702603,5189713,GB,present,introduced,,,,
148702610,5192470,GB,present,introduced,yes,,,
148702611,7230558,GB,present,introduced,yes,,,
148702617,5192789,GB,present,introduced,yes,,,
148702618,5281901,GB,present,introduced,yes,,,
148702623,2301629,GB,present,introduced,,,,
148702624,5278964,GB,present,introduced,,,,
148702628,4598226,GB,present,introduced,,,,
148702630,2658889,GB,present,introduced,yes,,,
148702631,4598225,GB,present,introduced,,,,
148702635,5780572,GB,present,introduced,,,,
148702636,2658866,GB,present,introduced,,,,
148702639,9418736,GB,present,introduced,,,,
148702642,5189806,GB,present,introduced,,,,
148702644,5189789,GB,present,introduced,,,,
10889612,2663133,GB,present,introduced,,,,
8014163,5190784,GB,present,introduced,,,,
148702651,2668884,GB,present,introduced,yes,,,
148702652,5279840,GB,present,introduced,yes,,,
148702654,2295442,GB,present,introduced,,,,
148702656,4567599,GB,present,introduced,,,,
148702660,4565039,GB,present,introduced,,,,
11453075,5277431,GB,present,introduced,,,,
148702663,4565046,GB,present,introduced,,,,
148702664,7682935,GB,present,introduced,yes,,,
148702668,2657641,GB,present,introduced,,,,
