taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
23750,148702483,"Loxomitra kefersteinii (ClaparÃ¨de, 1867)",scientificName_replaced_by_backbone_name,2284485,"Loxomitra kefersteinii (Claparède, 1867)"
23108,148702501,Dictyota cyanoloma,scientificName_replaced_by_backbone_name,8018048,"Dictyota cyanoloma Tronholm, De Clerck, Gomez Garreta & Rull Lluch, 2010"
22864,148702508,"Corynophlaea umbellata (C.Agardh) KÃ¼tz., 1843",not_matched_with_backbone,,
24786,148702515,"Thalassiosira tealata Takano, 1980",filtered_on_establishmentMeans,3193569,"Thalassiosira tealata Takano, 1980"
23963,148702527,Odontella sinensis (Grev.) Grunow,merged_with_accepted,3193658,"Biddulphia sinensis Greville, 1866"
22549,148702549,"Bonamia ostreae Pichot, Comps, TigÃ©, Grizel & Rabouin, 1980",scientificName_replaced_by_backbone_name,8050384,"Bonamia ostreae Pichot, Comps, Tigé, Grizel & Rabouin, 1980"
22232,148702556,"Alexandrium catenella (Whedon & Kofoid) Balech, 1985",scientificName_replaced_by_backbone_name,7974238,Alexandrium catenella (Whedon & Kofoid) Balech
23525,148702567,"Hymenoscyphus pseudoalbidus V.Queloz, C.R.GrÃ¼nig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",scientificName_replaced_by_backbone_name,7699567,"Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder"
24692,148702581,"Stagnicola catascopium (Say, 1817)",filtered_on_establishmentMeans,8343100,"Ladislavella catascopium (Say, 1817)"
23315,148702601,"Ferrissia wautieri (Mirolli, 1960)",merged_with_accepted,9520065,"Ferrissia californica (Rowell, 1863)"
22734,148702602,Chara socotrensis Nordst.,scientificName_replaced_by_backbone_name,7926430,Chara socotrensis Nordstedt
23826,148702603,"Menetus dilatatus (Gould, 1841)",scientificName_replaced_by_backbone_name,5189713,"Menetus dilatatus (A.Gould, 1841)"
