taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
148702483,2284485,23750,"Loxomitra kefersteinii (Claparède, 1867)",Animalia,SPECIES
148702484,5422556,24880,Undaria pinnatifida (Harv.) Suringar,Chromista,SPECIES
148702488,3197314,24504,Sargassum muticum (Yendo) Fensholt,Chromista,SPECIES
148702492,2501248,23853,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
148702498,4283395,23099,"Diadumene lineata (Verrill, 1869)",Animalia,SPECIES
148702501,8018048,23108,"Dictyota cyanoloma Tronholm, De Clerck, Gomez Garreta & Rull Lluch, 2010",Chromista,SPECIES
148702505,3197970,22820,Colpomenia peregrina Sauv.,Chromista,SPECIES
148702513,2266754,23414,"Gonionemus vertens A.Agassiz, 1862",Animalia,SPECIES
148702514,9355965,24785,"Thalassiosira punctigera Castracane, 1886",Chromista,SPECIES
148702519,2265249,24793,"Thecocodium brieni Bouillon, 1967",Animalia,SPECIES
148702522,8041570,24257,"Pleurosigma simonsenii Hasle, 1990",Chromista,SPECIES
148702524,2266009,22839,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
3193658,5421668,23963,"Biddulphia sinensis Greville, 1866",Chromista,SPECIES
148702528,5185676,22863,"Coryne pintneri Schneider, 1897",Animalia,SPECIES
148702535,2251202,24722,"Suberites massa Nardo, 1847",Animalia,SPECIES
148702537,5421557,22866,"Coscinodiscus wailesii Gran & Angst, 1931",Chromista,SPECIES
148702539,2246541,22731,"Chalinula loosanoffi (Hartman, 1958)",Animalia,SPECIES
148702548,4985433,24941,"Victorella pavida Saville-Kent, 1870",Animalia,SPECIES
148702549,8050384,22549,"Bonamia ostreae Pichot, Comps, Tigé, Grizel & Rabouin, 1980",Protozoa,SPECIES
148702556,7974238,22232,Alexandrium catenella (Whedon & Kofoid) Balech,Chromista,SPECIES
148702557,4985072,24831,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",Animalia,SPECIES
148702562,8155634,24959,"Watersipora subatra (Ortmann, 1890)",Animalia,SPECIES
148702565,8155634,24958,"Watersipora subatra (Ortmann, 1890)",Animalia,SPECIES
148702567,7699567,23525,"Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",Fungi,SPECIES
148702568,1010024,24521,"Schizoporella japonica Ortmann, 1890",Animalia,SPECIES
148702571,8428595,22607,"Bugulina stolonifera (Ryland, 1960)",Animalia,SPECIES
148702573,4984851,22605,"Bugula neritina (Linnaeus, 1758)",Animalia,SPECIES
148702575,7668385,22606,"Bugulina simplex (Hincks, 1886)",Animalia,SPECIES
148702582,2527401,23312,Favolaschia calocera R.Heim,Fungi,SPECIES
148702588,2304415,24886,"Urosalpinx cinerea (Say, 1822)",Animalia,SPECIES
148702590,4363499,24704,"Stramonita floridana (Conrad, 1837)",Animalia,SPECIES
148702592,6096602,23744,Lophocolea semiteres (Lehm.) Mitt.,Plantae,SPECIES
148702593,4363583,24391,"Rapana venosa (Valenciennes, 1846)",Animalia,SPECIES
148702600,8207003,23948,Nitella syncarpa (Thuill.) Chevall.,Plantae,SPECIES
9520065,8075198,23315,"Ferrissia californica (Rowell, 1863)",Animalia,SPECIES
148702602,7926430,22734,Chara socotrensis Nordstedt,Plantae,SPECIES
148702603,5189713,23826,"Menetus dilatatus (A.Gould, 1841)",Animalia,SPECIES
148702610,5192470,24292,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
148702611,7230558,22814,Codium fragile subsp. fragile,Plantae,SUBSPECIES
148702617,5192789,22979,"Crepidula fornicata (Linnaeus, 1758)",Animalia,SPECIES
148702618,5281901,22649,Campylopus introflexus (Hedw.) Brid.,Plantae,SPECIES
148702623,2301629,22633,"Calyptraea chinensis (Linnaeus, 1758)",Animalia,SPECIES
148702624,5278964,23415,Gracilaria vermiculophylla (Ohmi) Papenfuss,Plantae,SPECIES
148702628,4598226,24758,"Tandonia sowerbyi (A.Férussac, 1823)",Animalia,SPECIES
148702630,2658889,23421,Grateloupia turuturu Yamada,Plantae,SPECIES
148702631,4598225,24757,"Tandonia budapestensis (Hazay, 1880)",Animalia,SPECIES
148702635,5780572,24778,"Testacella scutulum G.B.Sowerby I, 1821",Animalia,SPECIES
148702636,2658866,23420,Grateloupia subpectinata Holmes,Plantae,SPECIES
148702639,9418736,24561,"Selenochlamys ysbryda Rowson & Symondson, 2008",Animalia,SPECIES
148702642,5189806,24189,"Physella acuta (Draparnaud, 1805)",Animalia,SPECIES
148702644,5189789,24190,"Physella gyrina (Say, 1821)",Animalia,SPECIES
10889612,2663133,22783,"Botryocladia wrightii (Harvey) W.E.Schmidt, D.L.Ballantine & Fredericq, 2017",Plantae,SPECIES
8014163,5190784,23658,"Ambigolimax valentianus (A.Férussac, 1821)",Animalia,SPECIES
148702651,2668884,22550,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
148702652,5279840,22456,Asparagopsis armata Harv.,Plantae,SPECIES
148702654,2295442,23700,"Limacus flavus (Linnaeus, 1758)",Animalia,SPECIES
148702656,4567599,23701,"Limacus maculatus (Kaleniczenko, 1851)",Animalia,SPECIES
148702660,4565039,23523,"Hygromia cinctella (Draparnaud, 1801)",Animalia,SPECIES
11453075,5277431,23931,Melanothamnus japonicus (Harv.) Diaz-Tapia & Maggs,Plantae,SPECIES
148702663,4565046,23524,"Hygromia limbata (Draparnaud, 1805)",Animalia,SPECIES
148702664,7682935,23075,Dasysiphonia japonica (Yendo) H.-S.Kim,Plantae,SPECIES
148702668,2657641,22374,Antithamnionella ternifolia (Hook.f. & Harv.) Lyle,Plantae,SPECIES
148702669,2657651,22373,Antithamnionella spirographidis (Schiffner) E.M.Wollaston,Plantae,SPECIES
148702672,2294277,24792,"Theba pisana (O.F.Müller, 1774)",Animalia,SPECIES
148702673,2294287,23460,"Helix pomatia Linnaeus, 1758",Animalia,SPECIES
148702676,2657585,23422,Griffithsia schousboei Mont.,Plantae,SPECIES
148702677,2656854,22350,Anotrichium furcellatum (J.Agardh) Baldock,Plantae,SPECIES
7910695,2297296,23458,"Lucilla singleyana (Pilsbry, 1889)",Animalia,SPECIES
148702680,5190777,23094,"Deroceras panormitanum (Lessona & Pollonera, 1882)",Animalia,SPECIES
148702685,5279303,24206,"Pikea californica Harvey, 1853",Plantae,SPECIES
148702686,2296807,22813,"Cochlicella barbara (Linnaeus, 1758)",Animalia,SPECIES
148702687,2296805,24854,"Trochoidea elegans (Gmelin, 1791)",Animalia,SPECIES
10284648,4564624,22651,"Xeroplexa olisippensis (Servain, 1880)",Animalia,SPECIES
9890104,2296797,22650,"Xeroplexa intersecta (Poiret, 1801)",Animalia,SPECIES
8624880,8624880,22719,"Cernuella virgata (Muller, 1774)",Animalia,SPECIES
148702694,5279603,24647,"Solieria chordalis (C.Agardh) J.Agardh, 1842",Plantae,SPECIES
148702696,2297229,22692,"Cecilioides acicula (O.F.Müller, 1774)",Animalia,SPECIES
148702697,5279613,24648,Solieria filiformis (Kütz.) P.W.Gabrielson,Plantae,SPECIES
148702699,4567717,22546,"Boettgerilla pallens Simroth, 1912",Animalia,SPECIES
148702700,5279568,22210,Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne,Plantae,SPECIES
148702706,7791733,23874,"Mya arenaria Linnaeus, 1758",Animalia,SPECIES
2287076,8283653,23890,"Mytilopsis leucophaeata (Conrad, 1831)",Animalia,SPECIES
148702712,2688189,24560,Selaginella kraussiana (Kunze) A.Braun,Plantae,SPECIES
148702713,2287073,23135,"Dreissena bugensis (Andrusov, 1897)",Animalia,SPECIES
148702714,2287072,23136,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
148702720,2687940,23200,Equisetum ramosissimum Desf.,Plantae,SPECIES
